dataset,task,n_train,n_features,mechanism,rate,actual_rate,seed,split,held_out_source,model,seconds,error,acc,logloss,auc
breast_cancer,classification,398,30,none,0.0,0.0,0,random,,tabicl_aware,1.8084352016448975,,0.9824561403508771,0.06410202379978254,0.9959112149532711
breast_cancer,classification,398,30,block,0.3,0.25061511423550087,0,random,,tabicl_aware,0.40016746520996094,,0.9824561403508771,0.08889194073277412,0.9931366822429907
breast_cancer,classification,398,30,block,0.5,0.4859988283538371,0,random,,tabicl_aware,0.3364067077636719,,0.9649122807017544,0.10378401913729957,0.9891939252336449
breast_cancer,classification,398,30,block_shift,0.3,0.283128295254833,0,random,,tabicl_aware,0.3296222686767578,,0.9532163742690059,0.11318858293577451,0.9897780373831776
breast_cancer,classification,398,30,block_shift,0.5,0.49279437609841825,0,random,,tabicl_aware,0.30851006507873535,,0.9532163742690059,0.12674297327089107,0.9896320093457944
breast_cancer,classification,398,30,none,0.0,0.0,1,random,,tabicl_aware,0.34238195419311523,,0.9707602339181286,0.08880261170519711,0.9926985981308412
breast_cancer,classification,398,30,block,0.3,0.2886350322202695,1,random,,tabicl_aware,0.30785512924194336,,0.9824561403508771,0.07289244711622353,0.9948890186915887
breast_cancer,classification,398,30,block,0.5,0.4677211482132396,1,random,,tabicl_aware,0.3056919574737549,,0.9473684210526315,0.10561869904528612,0.9916764018691588
breast_cancer,classification,398,30,block_shift,0.3,0.2895137668424136,1,random,,tabicl_aware,0.3051483631134033,,0.9590643274853801,0.10358545305323212,0.9908002336448598
breast_cancer,classification,398,30,block_shift,0.5,0.4545401288810779,1,random,,tabicl_aware,0.3031044006347656,,0.9532163742690059,0.11940254756981626,0.9906542056074766
breast_cancer,classification,398,30,none,0.0,0.0,2,random,,tabicl_aware,0.30016040802001953,,0.9707602339181286,0.04478167890387483,0.9985397196261683
breast_cancer,classification,398,30,block,0.3,0.26719390743995314,2,random,,tabicl_aware,0.3051459789276123,,0.9883040935672515,0.046128569374983844,0.9994158878504673
breast_cancer,classification,398,30,block,0.5,0.4555360281195079,2,random,,tabicl_aware,0.30034375190734863,,0.9883040935672515,0.04032707727217632,0.9992698598130841
breast_cancer,classification,398,30,block_shift,0.3,0.21745752782659636,2,random,,tabicl_aware,0.3125171661376953,,0.9707602339181286,0.06902061357460246,0.9976635514018691
breast_cancer,classification,398,30,block_shift,0.5,0.47685998828353837,2,random,,tabicl_aware,0.3016679286956787,,1.0,0.0488720159765077,1.0
breast_cancer,classification,398,30,none,0.0,0.0,3,random,,tabicl_aware,0.29617929458618164,,0.9590643274853801,0.08908249973198426,0.9947429906542056
breast_cancer,classification,398,30,block,0.3,0.3,3,random,,tabicl_aware,0.2998173236846924,,0.9883040935672515,0.04319562250195276,0.9997079439252337
breast_cancer,classification,398,30,block,0.5,0.4678968951376684,3,random,,tabicl_aware,0.29967689514160156,,0.9766081871345029,0.06015304029222495,0.9976635514018691
breast_cancer,classification,398,30,block_shift,0.3,0.3,3,random,,tabicl_aware,0.33695101737976074,,0.9766081871345029,0.0791587213398551,0.9956191588785047
breast_cancer,classification,398,30,block_shift,0.5,0.4450497949619215,3,random,,tabicl_aware,0.299069881439209,,0.9707602339181286,0.09128359964886085,0.9940128504672897
breast_cancer,classification,398,30,none,0.0,0.0,4,random,,tabicl_aware,0.29551053047180176,,0.9941520467836257,0.02672947172136111,1.0
breast_cancer,classification,398,30,block,0.3,0.28904510837727004,4,random,,tabicl_aware,0.3000214099884033,,0.9824561403508771,0.04892854556455217,0.9986857476635514
breast_cancer,classification,398,30,block,0.5,0.5,4,random,,tabicl_aware,0.29959869384765625,,0.9707602339181286,0.0713356714361113,0.9967873831775701
breast_cancer,classification,398,30,block_shift,0.3,0.3,4,random,,tabicl_aware,0.29875683784484863,,0.9590643274853801,0.07610360001799504,0.9970794392523364
breast_cancer,classification,398,30,block_shift,0.5,0.48734622144112477,4,random,,tabicl_aware,0.29930925369262695,,0.9883040935672515,0.05651915373086159,0.9986857476635514
wine,classification,124,13,none,0.0,0.0,0,random,,tabicl_aware,0.26493406295776367,,1.0,0.005084645994076614,1.0
wine,classification,124,13,block,0.3,0.2662057044079516,0,random,,tabicl_aware,0.26940107345581055,,1.0,0.013952825404562568,1.0
wine,classification,124,13,block,0.5,0.44857389801210024,0,random,,tabicl_aware,0.2555198669433594,,0.9444444444444444,0.13912737270606226,0.9939281911504133
wine,classification,124,13,block_shift,0.3,0.2662057044079516,0,random,,tabicl_aware,0.253765344619751,,1.0,0.023092590116128915,1.0
wine,classification,124,13,block_shift,0.5,0.46153846153846156,0,random,,tabicl_aware,0.25504589080810547,,0.9814814814814815,0.10949381230752593,0.9990379990379991
wine,classification,124,13,none,0.0,0.0,1,random,,tabicl_aware,0.25547289848327637,,0.9814814814814815,0.033326735967389276,1.0
wine,classification,124,13,block,0.3,0.287381158167675,1,random,,tabicl_aware,0.2683751583099365,,0.9629629629629629,0.06924051271216662,0.9995189995189996
wine,classification,124,13,block,0.5,0.4373379429559205,1,random,,tabicl_aware,0.2989828586578369,,0.9629629629629629,0.07414541791895163,1.0
wine,classification,124,13,block_shift,0.3,0.27787381158167673,1,random,,tabicl_aware,0.258575439453125,,0.9259259259259259,0.22367722656750857,0.9850477711588823
wine,classification,124,13,block_shift,0.5,0.4131374243733794,1,random,,tabicl_aware,0.25742650032043457,,0.9814814814814815,0.08572996776027252,0.9995189995189996
wine,classification,124,13,none,0.0,0.0,2,random,,tabicl_aware,0.2613027095794678,,0.9814814814814815,0.04523910031089746,1.0
wine,classification,124,13,block,0.3,0.23076923076923078,2,random,,tabicl_aware,0.26263904571533203,,0.9444444444444444,0.08754951392306706,1.0
wine,classification,124,13,block,0.5,0.43215211754537597,2,random,,tabicl_aware,0.2628600597381592,,0.9259259259259259,0.2267335220699563,0.9884481773370662
wine,classification,124,13,block_shift,0.3,0.27095937770095074,2,random,,tabicl_aware,0.2592806816101074,,0.9629629629629629,0.10881254404739185,0.9955373844262733
wine,classification,124,13,block_shift,0.5,0.43215211754537597,2,random,,tabicl_aware,0.25837135314941406,,0.8703703703703703,0.47690709676571497,0.9480048757826536
wine,classification,124,13,none,0.0,0.0,3,random,,tabicl_aware,0.25707578659057617,,1.0,0.004367106868222764,1.0
wine,classification,124,13,block,0.3,0.3076923076923077,3,random,,tabicl_aware,0.2578244209289551,,1.0,0.013254021363584747,1.0
wine,classification,124,13,block,0.5,0.46153846153846156,3,random,,tabicl_aware,0.2571542263031006,,0.9814814814814815,0.07605187764745054,1.0
wine,classification,124,13,block_shift,0.3,0.3076923076923077,3,random,,tabicl_aware,0.25917935371398926,,0.9814814814814815,0.04948006455798895,0.9995189995189996
wine,classification,124,13,block_shift,0.5,0.43604148660328435,3,random,,tabicl_aware,0.25800251960754395,,0.9814814814814815,0.04599308136601953,1.0
wine,classification,124,13,none,0.0,0.0,4,random,,tabicl_aware,0.2947518825531006,,0.9814814814814815,0.02393793228417286,1.0
wine,classification,124,13,block,0.3,0.3076923076923077,4,random,,tabicl_aware,0.2589406967163086,,0.9444444444444444,0.14955704616704596,0.9932141932141931
wine,classification,124,13,block,0.5,0.46153846153846156,4,random,,tabicl_aware,0.2584996223449707,,0.9444444444444444,0.16979067535442974,0.997987197987198
