dataset,task,mechanism,rate,model,auc,acc,logloss,auc_std,acc_std,logloss_std,n_fits
breast_cancer,classification,block,0.3,tabicl_aware,0.9971670560747663,0.9847953216374268,0.06000742505809729,0.002968718035992881,0.0032030558918430935,0.019989621996745113,5
breast_cancer,classification,block,0.5,tabicl_aware,0.9949182242990654,0.9695906432748538,0.07624370143661965,0.004279144771995033,0.015137051585432526,0.02825934186018423,5
breast_cancer,classification,block_shift,0.3,tabicl_aware,0.9941880841121495,0.9637426900584796,0.08821139418429184,0.0036542039268466922,0.009609167675529221,0.019085709769640982,5
breast_cancer,classification,block_shift,0.5,tabicl_aware,0.9945969626168225,0.9730994152046784,0.0885640580393875,0.004648877739407592,0.02092227347368224,0.03542023435341147,5
breast_cancer,classification,none,0.0,tabicl_aware,0.9963785046728972,0.9754385964912281,0.06269965717243997,0.002924938308073425,0.01333538508887882,0.02736006869342688,5
openml:1590,classification,block,0.3,tabicl_aware,0.8989950069505518,0.8595555555555556,0.31653307008199505,0.01397782598398945,0.00901302212918815,0.02135157716688422,5
openml:1590,classification,block,0.5,tabicl_aware,0.8674189338704643,0.8322222222222223,0.3593606586644109,0.009744138920531407,0.009493337494797253,0.01380473932146274,5
openml:1590,classification,block_shift,0.3,tabicl_aware,0.8952842633833583,0.8535555555555556,0.3237204976856137,0.0035766788227366594,0.004608098078517252,0.005256686597781159,5
openml:1590,classification,block_shift,0.5,tabicl_aware,0.8596896365854351,0.8342222222222222,0.367769954208895,0.026052953128156666,0.018213412504572802,0.030951917449133805,5
openml:1590,classification,none,0.0,tabicl_aware,0.9115506822888593,0.8628888888888889,0.29781664146303244,0.003505461194212099,0.005588789484426365,0.005824559597413321,5
openml:31,classification,block,0.3,tabicl_aware,0.7712486772486773,0.7473333333333334,0.508413391372615,0.05316196117061793,0.032437975001874245,0.04194063476147742,5
openml:31,classification,block,0.5,tabicl_aware,0.7225079365079365,0.726,0.5456671452060251,0.03497923974479623,0.011879019787470276,0.021132730353866775,5
openml:31,classification,block_shift,0.3,tabicl_aware,0.7717142857142857,0.7513333333333334,0.5090842169763405,0.03224937388294883,0.014643921757659176,0.03052774818914004,5
openml:31,classification,block_shift,0.5,tabicl_aware,0.725047619047619,0.7353333333333334,0.5421083006312896,0.031058462452592465,0.021934245168482844,0.019995364050946998,5
openml:31,classification,none,0.0,tabicl_aware,0.817968253968254,0.776,0.46761454039018424,0.022048216452049855,0.014794894014114759,0.018406309263185396,5
wine,classification,block,0.3,tabicl_aware,0.9985466385466385,0.9703703703703704,0.06671078391408539,0.002988195008129537,0.02808472386685759,0.056888450088613186,5
wine,classification,block,0.5,tabicl_aware,0.9960727132949355,0.951851851851852,0.1371697731393701,0.004930642381212803,0.02111435972405811,0.06480178832447406,5
wine,classification,block_shift,0.3,tabicl_aware,0.9953903503903504,0.9703703703703704,0.10388901336560204,0.006070600146511684,0.028084723866857602,0.07741441908484938,5
wine,classification,block_shift,0.5,tabicl_aware,0.9888180132624577,0.9481481481481481,0.17290689839081144,0.02283405049275193,0.04969039949999534,0.17381479484172954,5
wine,classification,none,0.0,tabicl_aware,1.0,0.9888888888888889,0.022391104284951793,0.0,0.010143010324169704,0.01780722901665775,5
