dataset,task,n_train,n_features,mechanism,rate,actual_rate,seed,split,held_out_source,model,seconds,error,acc,logloss,auc
breast_cancer,classification,398,30,none,0.0,0.0,0,random,,tabicl_aware,1.778047800064087,,0.9941520467836257,0.06343842413999064,0.9957651869158879
breast_cancer,classification,281,30,block,0.3,0.25061511423550087,0,source,0.0,tabicl_aware,0.37108635902404785,,0.9722222222222222,0.11763015756199431,0.9948045267489712
breast_cancer,classification,453,30,block,0.5,0.49279437609841825,0,source,2.0,tabicl_aware,0.30591344833374023,,0.9396551724137931,0.16065063385660114,0.9856642242752469
breast_cancer,classification,281,30,block_shift,0.3,0.2662565905096661,0,source,0.0,tabicl_aware,0.2864222526550293,,0.875,0.25341632517640644,0.9852880658436214
breast_cancer,classification,453,30,block_shift,0.5,0.48728763913298184,0,source,2.0,tabicl_aware,0.3028371334075928,,0.8879310344827587,0.2124243556142979,0.9745141764893278
breast_cancer,classification,398,30,none,0.0,0.0,1,random,,tabicl_aware,0.34166908264160156,,0.9649122807017544,0.08852135809616038,0.992552570093458
breast_cancer,classification,373,30,block,0.3,0.2886350322202695,1,source,0.0,tabicl_aware,0.2988278865814209,,0.9642857142857143,0.10696907998534552,0.9892543859649123
breast_cancer,classification,366,30,block,0.5,0.47855887521968365,1,source,0.0,tabicl_aware,0.29807209968566895,,0.9359605911330049,0.18117987933328789,0.991566265060241
breast_cancer,classification,373,30,block_shift,0.3,0.3,1,source,0.0,tabicl_aware,0.29888248443603516,,0.9438775510204082,0.1699761330340966,0.9794956140350877
breast_cancer,classification,366,30,block_shift,0.5,0.44499121265377856,1,source,0.0,tabicl_aware,0.29901599884033203,,0.8029556650246306,0.359751500057863,0.9709839357429719
breast_cancer,classification,398,30,none,0.0,0.0,2,random,,tabicl_aware,0.3018503189086914,,0.9649122807017544,0.04525757320475134,0.9986857476635514
breast_cancer,classification,289,30,block,0.3,0.26719390743995314,2,source,1.0,tabicl_aware,0.2902059555053711,,0.9428571428571428,0.14322121594636877,0.9881029285099053
breast_cancer,classification,395,30,block,0.5,0.4555360281195079,2,source,2.0,tabicl_aware,0.2974529266357422,,0.9195402298850575,0.21607817131807314,0.9821829405162739
breast_cancer,classification,289,30,block_shift,0.3,0.2338605741066198,2,source,1.0,tabicl_aware,0.2894551753997803,,0.9428571428571428,0.1416940844558476,0.9916020671834626
breast_cancer,classification,395,30,block_shift,0.5,0.46397188049209137,2,source,2.0,tabicl_aware,0.2987995147705078,,0.8275862068965517,0.37129680069714566,0.9883557800224467
breast_cancer,classification,398,30,none,0.0,0.0,3,random,,tabicl_aware,0.3040134906768799,,0.9649122807017544,0.08529968805688445,0.9950350467289719
breast_cancer,classification,407,30,block,0.3,0.29086115992970124,3,source,3.0,tabicl_aware,0.30708742141723633,,0.9259259259259259,0.1903576472397404,0.9747942386831276
breast_cancer,classification,369,30,block,0.5,0.4561218512009373,3,source,2.0,tabicl_aware,0.301163911819458,,0.935,0.19255324780282934,0.9782968168664739
breast_cancer,classification,407,30,block_shift,0.3,0.3,3,source,3.0,tabicl_aware,0.35059523582458496,,0.9382716049382716,0.15311762562851938,0.9845679012345678
breast_cancer,classification,369,30,block_shift,0.5,0.4666666666666667,3,source,2.0,tabicl_aware,0.29566526412963867,,0.9,0.24312643719716204,0.9711657709797437
breast_cancer,classification,398,30,none,0.0,0.0,4,random,,tabicl_aware,0.3036501407623291,,0.9941520467836257,0.027842168054282204,1.0
breast_cancer,classification,377,30,block,0.3,0.3,4,source,0.0,tabicl_aware,0.3041725158691406,,0.96875,0.09685681685268344,0.994918125352908
breast_cancer,classification,452,30,block,0.5,0.49420035149384883,4,source,2.0,tabicl_aware,0.30921387672424316,,0.9572649572649573,0.08433837088663623,0.9962962962962962
breast_cancer,classification,377,30,block_shift,0.3,0.28886936145284126,4,source,0.0,tabicl_aware,0.3008272647857666,,0.921875,0.2098334656118466,0.9857707509881424
breast_cancer,classification,452,30,block_shift,0.5,0.4884007029876977,4,source,2.0,tabicl_aware,0.30582618713378906,,0.8803418803418803,0.22790508244912203,0.9978395061728396
wine,classification,124,13,none,0.0,0.0,0,random,,tabicl_aware,0.27003908157348633,,1.0,0.0062406873744388575,1.0
wine,classification,82,13,block,0.3,0.23076923076923078,0,source,0.0,tabicl_aware,0.270963191986084,,0.9791666666666666,0.07006744736401428,0.9992124164992956
wine,classification,131,13,block,0.5,0.46153846153846156,0,source,2.0,tabicl_aware,0.2669525146484375,,0.9574468085106383,0.1086062791278184,1.0
wine,classification,82,13,block_shift,0.3,0.2722558340535869,0,source,0.0,tabicl_aware,0.26102542877197266,,0.90625,0.18553661091380624,0.992961221728755
wine,classification,131,13,block_shift,0.5,0.46153846153846156,0,source,2.0,tabicl_aware,0.26430630683898926,,0.8085106382978723,0.351168159440674,0.9642579642579642
wine,classification,124,13,none,0.0,0.0,1,random,,tabicl_aware,0.26319074630737305,,0.9814814814814815,0.03353111176844724,1.0
wine,classification,116,13,block,0.3,0.2808988764044944,1,source,0.0,tabicl_aware,0.2613365650177002,,0.9354838709677419,0.24511815387658417,0.9970830095830095
wine,classification,116,13,block,0.5,0.4347450302506482,1,source,0.0,tabicl_aware,0.3044617176055908,,0.9032258064516129,0.30836794417025537,0.9885307566607789
wine,classification,116,13,block_shift,0.3,0.3076923076923077,1,source,0.0,tabicl_aware,0.26427459716796875,,0.8225806451612904,0.35931494342776765,0.9881882006882007
wine,classification,116,13,block_shift,0.5,0.4105445116681072,1,source,0.0,tabicl_aware,0.2648634910583496,,0.7741935483870968,0.5641094946984978,0.9795069026956411
wine,classification,124,13,none,0.0,0.0,2,random,,tabicl_aware,0.2617685794830322,,0.9814814814814815,0.04148124445183311,1.0
wine,classification,93,13,block,0.3,0.23076923076923078,2,source,1.0,tabicl_aware,0.26138973236083984,,0.9764705882352941,0.06743426575183141,0.9989985129210311
wine,classification,116,13,block,0.5,0.4407951598962835,2,source,0.0,tabicl_aware,0.26335597038269043,,0.8870967741935484,0.2227893662690744,0.9874424424424424
wine,classification,93,13,block_shift,0.3,0.27095937770095074,2,source,1.0,tabicl_aware,0.2609412670135498,,0.8705882352941177,0.3392288520685596,0.973887679431387
wine,classification,116,13,block_shift,0.5,0.40535868625756266,2,source,0.0,tabicl_aware,0.26198863983154297,,0.6935483870967742,0.9101723662835733,0.8809775262716438
wine,classification,124,13,none,0.0,0.0,3,random,,tabicl_aware,0.26520538330078125,,1.0,0.005994780894548054,1.0
wine,classification,127,13,block,0.3,0.3076923076923077,3,source,3.0,tabicl_aware,0.2650012969970703,,0.9019607843137255,0.1863156985846429,0.9908289241622574
wine,classification,119,13,block,0.5,0.439066551426102,3,source,1.0,tabicl_aware,0.2629697322845459,,0.8983050847457628,0.24800655234035404,0.9766793437081075
wine,classification,127,13,block_shift,0.3,0.28565254969749354,3,source,3.0,tabicl_aware,0.2663440704345703,,0.8823529411764706,0.2842542126213637,0.9955908289241622
wine,classification,119,13,block_shift,0.5,0.4070872947277442,3,source,1.0,tabicl_aware,0.2649571895599365,,0.847457627118644,0.39452355801944033,0.9658521303258145
wine,classification,124,13,none,0.0,0.0,4,random,,tabicl_aware,0.3048889636993408,,0.9814814814814815,0.02481756902675573,1.0
wine,classification,126,13,block,0.3,0.3076923076923077,4,source,1.0,tabicl_aware,0.2632408142089844,,0.7884615384615384,0.5088333017169843,0.9813777932344108
wine,classification,151,13,block,0.5,0.46153846153846156,4,source,1.0,tabicl_aware,0.26664018630981445,,0.8888888888888888,0.19022860584633502,1.0
wine,classification,126,13,block_shift,0.3,0.3076923076923077,4,source,1.0,tabicl_aware,0.2645566463470459,,0.9038461538461539,0.2143837415102064,0.994515931372549
wine,classification,151,13,block_shift,0.5,0.44727744165946415,4,source,1.0,tabicl_aware,0.26756978034973145,,0.7407407407407407,0.8508987197299898,0.8471713471713471
openml:31,classification,700,20,none,0.0,0.0,0,random,,tabicl_aware,0.30769848823547363,,0.7833333333333333,0.44759005474277935,0.8423809523809523
openml:31,classification,503,20,block,0.3,0.25,0,source,0.0,tabicl_aware,0.2955935001373291,,0.7223340040241448,0.528452466416152,0.7547432819639124
openml:31,classification,809,20,block,0.5,0.4794,0,source,4.0,tabicl_aware,0.3127875328063965,,0.7120418848167539,0.5721155573076986,0.6677807486631017
openml:31,classification,503,20,block_shift,0.3,0.22485,0,source,0.0,tabicl_aware,0.29732656478881836,,0.6881287726358148,0.5853433763685487,0.6632947417331371
openml:31,classification,809,20,block_shift,0.5,0.4896,0,source,4.0,tabicl_aware,0.31552815437316895,,0.7120418848167539,0.5793359297073922,0.6358288770053476
openml:31,classification,700,20,none,0.0,0.0,1,random,,tabicl_aware,0.30792927742004395,,0.7666666666666667,0.4637991072829024,0.8244444444444445
openml:31,classification,667,20,block,0.3,0.3,1,source,2.0,tabicl_aware,0.3150961399078369,,0.7327327327327328,0.5389061707942518,0.7505121201775349
openml:31,classification,684,20,block,0.5,0.4486,1,source,2.0,tabicl_aware,0.32712507247924805,,0.7183544303797469,0.5910407495267566,0.6661828737300436
openml:31,classification,667,20,block_shift,0.3,0.3,1,source,2.0,tabicl_aware,0.3547642230987549,,0.7087087087087087,0.5359174403360594,0.7380932058723114
openml:31,classification,684,20,block_shift,0.5,0.4498,1,source,2.0,tabicl_aware,0.30301856994628906,,0.6867088607594937,0.611077809255714,0.6451378809869376
openml:31,classification,700,20,none,0.0,0.0,2,random,,tabicl_aware,0.30951857566833496,,0.7966666666666666,0.462938064052777,0.8212169312169312
openml:31,classification,508,20,block,0.3,0.2746,2,source,1.0,tabicl_aware,0.29678988456726074,,0.7357723577235772,0.5359132855062773,0.7295454545454545
openml:31,classification,655,20,block,0.5,0.43385,2,source,0.0,tabicl_aware,0.30340003967285156,,0.6840579710144927,0.6033186788367423,0.6367117988394584
openml:31,classification,508,20,block_shift,0.3,0.3,2,source,1.0,tabicl_aware,0.2954249382019043,,0.709349593495935,0.5903632496011144,0.5863433441558441
openml:31,classification,655,20,block_shift,0.5,0.46645,2,source,0.0,tabicl_aware,0.30431079864501953,,0.6608695652173913,0.6100765844805197,0.6138684719535783
openml:31,classification,700,20,none,0.0,0.0,3,random,,tabicl_aware,0.3111226558685303,,0.7966666666666666,0.5000791091192459,0.7796825396825396
openml:31,classification,731,20,block,0.3,0.3,3,source,3.0,tabicl_aware,0.31420016288757324,,0.7323420074349443,0.5407601815845241,0.7499028371550719
openml:31,classification,688,20,block,0.5,0.4826,3,source,2.0,tabicl_aware,0.3017153739929199,,0.7051282051282052,0.5597246147246504,0.7026926877470355
openml:31,classification,731,20,block_shift,0.3,0.3,3,source,3.0,tabicl_aware,0.3132636547088623,,0.7174721189591078,0.5400713114342521,0.762728332685581
openml:31,classification,688,20,block_shift,0.5,0.4844,3,source,2.0,tabicl_aware,0.30304789543151855,,0.7051282051282052,0.5862852336387062,0.6521245059288537
openml:31,classification,700,20,none,0.0,0.0,4,random,,tabicl_aware,0.3111124038696289,,0.7466666666666667,0.46672751399288065,0.8148148148148148
openml:31,classification,653,20,block,0.3,0.3,4,source,1.0,tabicl_aware,0.3442356586456299,,0.7348703170028819,0.548937145196158,0.6606713598901099
openml:31,classification,809,20,block,0.5,0.5,4,source,1.0,tabicl_aware,0.317868709564209,,0.6178010471204188,0.5996224862778263,0.8334107267239378
openml:31,classification,653,20,block_shift,0.3,0.28265,4,source,1.0,tabicl_aware,0.3057286739349365,,0.7463976945244957,0.5133509347330248,0.7400412087912088
openml:31,classification,809,20,block_shift,0.5,0.4895,4,source,1.0,tabicl_aware,0.3158144950866699,,0.6858638743455497,0.5672630564370899,0.8316693754353378
openml:1590,classification,2100,14,none,0.0,0.0,0,random,,tabicl_aware,0.3917734622955322,,0.8544444444444445,0.30736642372149353,0.9057029986666287
openml:1590,classification,1464,14,block,0.3,0.25085714285714283,0,source,1.0,tabicl_aware,0.398517370223999,,0.7766927083333334,0.5356176768439026,0.8609603078237739
openml:1590,classification,2418,14,block,0.5,0.5,0,source,1.0,tabicl_aware,0.3426499366760254,,0.8487972508591065,0.32258607955153695,0.8839556277056276
openml:1590,classification,1464,14,block_shift,0.3,0.24914285714285714,0,source,1.0,tabicl_aware,0.31436729431152344,,0.8177083333333334,0.3887682437921067,0.8797394408865865
openml:1590,classification,2418,14,block_shift,0.5,0.5,0,source,1.0,tabicl_aware,0.3389863967895508,,0.8298969072164949,0.38486594495340737,0.8468704906204907
openml:1590,classification,2100,14,none,0.0,0.0,1,random,,tabicl_aware,0.33220434188842773,,0.87,0.29929501720717355,0.9102031263298249
openml:1590,classification,1997,14,block,0.3,0.2857142857142857,1,source,1.0,tabicl_aware,0.3380298614501953,,0.8374875373878365,0.33817325341951066,0.8968702620749405
openml:1590,classification,1976,14,block,0.5,0.4756190476190476,1,source,0.0,tabicl_aware,0.32744646072387695,,0.845703125,0.3591417114110097,0.8748062015503875
openml:1590,classification,1997,14,block_shift,0.3,0.2857142857142857,1,source,1.0,tabicl_aware,0.3365931510925293,,0.847457627118644,0.3301800438975784,0.9008365821962314
openml:1590,classification,1976,14,block_shift,0.5,0.43052380952380953,1,source,0.0,tabicl_aware,0.37359118461608887,,0.78515625,0.4586647708424833,0.7764263565891473
openml:1590,classification,2100,14,none,0.0,0.0,2,random,,tabicl_aware,0.33515357971191406,,0.8677777777777778,0.28928468225546833,0.9163203211438622
openml:1590,classification,1467,14,block,0.3,0.2507857142857143,2,source,1.0,tabicl_aware,0.32464027404785156,,0.837573385518591,0.3664633731455941,0.8704122053104144
openml:1590,classification,1995,14,block,0.5,0.4522857142857143,2,source,0.0,tabicl_aware,0.33176350593566895,,0.7940298507462686,0.41553916566003307,0.8252318462161797
openml:1590,classification,1467,14,block_shift,0.3,0.24921428571428572,2,source,1.0,tabicl_aware,0.31099820137023926,,0.5446836268754077,0.8813357463935081,0.794828827963701
openml:1590,classification,1995,14,block_shift,0.5,0.4525,2,source,0.0,tabicl_aware,0.32622480392456055,,0.7810945273631841,0.5389333548774872,0.7529121460406067
openml:1590,classification,2100,14,none,0.0,0.0,3,random,,tabicl_aware,0.3425753116607666,,0.8611111111111112,0.3025767372643765,0.9091357201622741
openml:1590,classification,2251,14,block,0.3,0.26811904761904765,3,source,2.0,tabicl_aware,0.34366941452026367,,0.8344459279038718,0.34929782972817225,0.8851318239733411
openml:1590,classification,1969,14,block,0.5,0.47545238095238096,3,source,0.0,tabicl_aware,0.3265268802642822,,0.7982541222114452,0.40262093840594054,0.8242825643938129
openml:1590,classification,2251,14,block_shift,0.3,0.2857142857142857,3,source,2.0,tabicl_aware,0.3390920162200928,,0.8130841121495327,0.37490132841656226,0.8686366754876016
openml:1590,classification,1969,14,block_shift,0.5,0.4764047619047619,3,source,0.0,tabicl_aware,0.3309948444366455,,0.8496605237633366,0.361497694014177,0.8578436285482021
openml:1590,classification,2100,14,none,0.0,0.0,4,random,,tabicl_aware,0.33453798294067383,,0.8588888888888889,0.29545047267118224,0.9134088910323697
openml:1590,classification,2002,14,block,0.3,0.2857142857142857,4,source,0.0,tabicl_aware,0.3327641487121582,,0.8096192384769539,0.4031599314308858,0.8332243599016345
openml:1590,classification,2428,14,block,0.5,0.4852619047619048,4,source,4.0,tabicl_aware,0.3456897735595703,,0.8076923076923077,0.3999674354632814,0.8180781139659948
openml:1590,classification,2002,14,block_shift,0.3,0.2857142857142857,4,source,0.0,tabicl_aware,0.3325228691101074,,0.8006012024048096,0.43505657389741714,0.8119716476204253
openml:1590,classification,2428,14,block_shift,0.5,0.5,4,source,4.0,tabicl_aware,0.3789687156677246,,0.708041958041958,0.45353646533033976,0.8194904666195882
