dataset,task,mechanism,rate,model,auc,acc,logloss,auc_std,acc_std,logloss_std,n_fits
breast_cancer,classification,block,0.3,tabicl_aware,0.9971670560747663,0.983625730994152,0.06019593608511002,0.0030256360951808124,0.004892748693181749,0.0199864919208365,5
breast_cancer,classification,block,0.5,tabicl_aware,0.9951810747663551,0.9742690058479532,0.07511870363323243,0.004304732176689074,0.01346299933710094,0.02914793451303288,5
breast_cancer,classification,block_shift,0.3,tabicl_aware,0.9940128504672897,0.9637426900584796,0.08918920788269746,0.0037158325496493253,0.009609167675529221,0.01972822761777366,5
breast_cancer,classification,block_shift,0.5,tabicl_aware,0.9945969626168225,0.9707602339181287,0.0884446969026047,0.0047934134235309055,0.027429331928791992,0.03692574288158256,5
breast_cancer,classification,none,0.0,tabicl_aware,0.9964077102803739,0.9766081871345029,0.06207184231041381,0.0029687180359928744,0.01601527945921534,0.025958464392456533,5
openml:1590,classification,block,0.3,tabicl_aware,0.8986744304802974,0.8586666666666666,0.3171183432118193,0.01402724637894924,0.0074701050284318405,0.021314641425481774,5
openml:1590,classification,block,0.5,tabicl_aware,0.8679841981332803,0.8313333333333333,0.35883295426067463,0.010070299438622945,0.006353768202442619,0.01391538700777719,5
openml:1590,classification,block_shift,0.3,tabicl_aware,0.8950927685891799,0.8508888888888888,0.32400333570614764,0.0035557750032527177,0.0051759176439342604,0.005051088600987635,5
openml:1590,classification,block_shift,0.5,tabicl_aware,0.8602130556895229,0.8342222222222222,0.3670918158463688,0.026368224033647643,0.017022135189797876,0.03091025085549381,5
openml:1590,classification,none,0.0,tabicl_aware,0.910954211466992,0.8624444444444445,0.29879466662393883,0.004070222973504938,0.006402160129283516,0.006885725536519191,5
openml:31,classification,block,0.3,tabicl_aware,0.7706031746031746,0.748,0.5088541886479241,0.05336039300520719,0.03500793560830965,0.04190583814929427,5
openml:31,classification,block,0.5,tabicl_aware,0.7239365079365079,0.7206666666666667,0.5451522218618524,0.032758002071256655,0.010110500592068757,0.020066626769798316,5
openml:31,classification,block_shift,0.3,tabicl_aware,0.7713015873015874,0.752,0.5090021241034084,0.030022797716802527,0.01345775282545758,0.029277613032619356,5
openml:31,classification,block_shift,0.5,tabicl_aware,0.7275555555555555,0.7306666666666667,0.5420561233040402,0.03013241216853604,0.017061978522759667,0.019136092159288857,5
openml:31,classification,none,0.0,tabicl_aware,0.8165079365079364,0.778,0.4682267698381171,0.02298669317331543,0.021421692017412806,0.01930199406980078,5
wine,classification,block,0.3,tabicl_aware,0.9986428386428386,0.9703703703703704,0.06727335109653385,0.0027736487366367755,0.02808472386685759,0.05587796620535572,5
wine,classification,block,0.5,tabicl_aware,0.9952609119275786,0.9481481481481481,0.14504517492659041,0.005817115408965326,0.024145194093343147,0.0760475891609717,5
wine,classification,block_shift,0.3,tabicl_aware,0.9954798699243144,0.9666666666666666,0.10421397273261321,0.00616976214912145,0.03562108159568766,0.08121423667298265,5
wine,classification,block_shift,0.5,tabicl_aware,0.9884894940450497,0.9407407407407409,0.17567603822633232,0.02357296327811561,0.05616944773371522,0.16366693812226357,5
wine,classification,none,0.0,tabicl_aware,1.0,0.9888888888888889,0.022413078703204598,0.0,0.010143010324169704,0.016000733750343474,5
