dataset,task,n_train,n_features,mechanism,rate,actual_rate,seed,split,held_out_source,model,seconds,error,rmse,r2,coverage80,width80
diabetes,regression,309,10,none,0.0,0.0,0,random,,tabicl_aware,1.6950006484985352,,56.15171723036389,0.4877340158661466,0.7744360902255639,1.7351952954470469
diabetes,regression,212,10,block,0.3,0.24796380090497738,0,source,0.0,tabicl_aware,0.35213232040405273,,66.08474504991673,0.31358856941594127,0.7,1.871209735786739
diabetes,regression,355,10,block,0.5,0.5,0,source,1.0,tabicl_aware,0.2868838310241699,,62.85042312661215,0.2820987183331781,0.8620689655172413,2.2918974514828623
diabetes,regression,212,10,block_shift,0.3,0.24796380090497738,0,source,0.0,tabicl_aware,0.256481409072876,,82.89646298384426,-0.08007538947301818,0.508695652173913,1.3428281527278256
diabetes,regression,355,10,block_shift,0.5,0.5,0,source,1.0,tabicl_aware,0.26114869117736816,,61.24331957433745,0.3183432140200424,0.8390804597701149,2.159522153211092
diabetes,regression,309,10,none,0.0,0.0,1,random,,tabicl_aware,0.2960810661315918,,57.321356910826054,0.4378708504715422,0.7593984962406015,1.7319821341501078
diabetes,regression,309,10,block,0.3,0.3,1,source,1.0,tabicl_aware,0.2571728229522705,,59.8936465809325,0.33901317958555255,0.8646616541353384,2.1838157063677746
diabetes,regression,286,10,block,0.5,0.4339366515837104,1,source,0.0,tabicl_aware,0.2596559524536133,,66.13697546492926,0.2395365491127367,0.7884615384615384,2.3850071775146633
diabetes,regression,309,10,block_shift,0.3,0.3,1,source,1.0,tabicl_aware,0.2592902183532715,,63.90384250957232,0.2475368528878078,0.7518796992481203,2.0707573510574617
diabetes,regression,286,10,block_shift,0.5,0.4669683257918552,1,source,0.0,tabicl_aware,0.2591371536254883,,70.5813237596533,0.13389751559837904,0.7307692307692307,2.2749412116959458
diabetes,regression,309,10,none,0.0,0.0,2,random,,tabicl_aware,0.25954174995422363,,57.07450158598041,0.46041281409290524,0.7669172932330827,1.7866161251778623
diabetes,regression,211,10,block,0.3,0.20452488687782805,2,source,0.0,tabicl_aware,0.25952887535095215,,60.021568788433235,0.4049884067678077,0.7489177489177489,1.8227545833307266
