dataset,task,n_train,n_features,mechanism,rate,actual_rate,seed,split,held_out_source,model,seconds,error,rmse,r2,coverage80,width80
diabetes,regression,309,10,none,0.0,0.0,0,random,,tabicl_aware,1.6977033615112305,,56.151716270381414,0.4877340333817771,0.7744360902255639,1.73519548994041
diabetes,regression,309,10,block,0.3,0.3,0,random,,tabicl_aware,0.36913609504699707,,58.9571460540529,0.43526807641965026,0.7969924812030075,1.7952071951269664
diabetes,regression,309,10,block,0.5,0.5,0,random,,tabicl_aware,0.2978017330169678,,65.65965036015585,0.29956705461452793,0.7669172932330827,1.9279382183709994
diabetes,regression,309,10,block_shift,0.3,0.3,0,random,,tabicl_aware,0.28072547912597656,,58.77211849907778,0.43880715556242844,0.7744360902255639,1.8511226755913215
diabetes,regression,309,10,block_shift,0.5,0.5,0,random,,tabicl_aware,0.268841028213501,,65.16060457655014,0.3101738652515219,0.7669172932330827,1.9324586331183238
diabetes,regression,309,10,none,0.0,0.0,1,random,,tabicl_aware,0.3046252727508545,,57.32135685818392,0.4378708515040257,0.7593984962406015,1.7319821341501078
diabetes,regression,309,10,block,0.3,0.266289592760181,1,random,,tabicl_aware,0.26854634284973145,,59.523522974622786,0.39384954336695865,0.7744360902255639,1.8301605771019998
diabetes,regression,309,10,block,0.5,0.40226244343891404,1,random,,tabicl_aware,0.26938843727111816,,61.11406168770461,0.3610226292395159,0.7518796992481203,1.8211879631408106
diabetes,regression,309,10,block_shift,0.3,0.26380090497737557,1,random,,tabicl_aware,0.2691686153411865,,58.6056558835394,0.41239938326944714,0.8045112781954887,1.8290942097644407
diabetes,regression,309,10,block_shift,0.5,0.5,1,random,,tabicl_aware,0.27077341079711914,,63.17524831390402,0.3171943646828679,0.7744360902255639,1.9651884680485585
diabetes,regression,309,10,none,0.0,0.0,2,random,,tabicl_aware,0.26856255531311035,,57.07450233262031,0.46041279997531104,0.7669172932330827,1.7866161251778623
diabetes,regression,309,10,block,0.3,0.252262443438914,2,random,,tabicl_aware,0.26435112953186035,,58.519510186025045,0.43274447175055275,0.8195488721804511,1.8599546070654507
diabetes,regression,309,10,block,0.5,0.46289592760181,2,random,,tabicl_aware,0.2660698890686035,,65.64623024506004,0.28616645042662825,0.7744360902255639,2.0062107173568595
diabetes,regression,309,10,block_shift,0.3,0.2,2,random,,tabicl_aware,0.2691223621368408,,58.35035078470072,0.436019205827722,0.8345864661654135,1.8282645164844382
diabetes,regression,309,10,block_shift,0.5,0.43710407239819005,2,random,,tabicl_aware,0.2678799629211426,,63.57894917988188,0.33041754757625297,0.7819548872180451,2.106835744484108
diabetes,regression,309,10,none,0.0,0.0,3,random,,tabicl_aware,0.26714444160461426,,50.406394573790024,0.538563402573117,0.8796992481203008,1.9710796867264113
diabetes,regression,309,10,block,0.3,0.3,3,random,,tabicl_aware,0.2678666114807129,,55.14347850944736,0.44775844448303204,0.8345864661654135,2.0576601686134794
diabetes,regression,309,10,block,0.5,0.4276018099547511,3,random,,tabicl_aware,0.26950645446777344,,61.598283922129646,0.31090675386792765,0.849624060150376,2.318701619040173
diabetes,regression,309,10,block_shift,0.3,0.3,3,random,,tabicl_aware,0.30834341049194336,,58.97232699881952,0.36840701617826954,0.849624060150376,2.0419799149931706
diabetes,regression,309,10,block_shift,0.5,0.4671945701357466,3,random,,tabicl_aware,0.27152490615844727,,61.85191396131283,0.3052204083366252,0.8571428571428571,2.3083120681423037
diabetes,regression,309,10,none,0.0,0.0,4,random,,tabicl_aware,0.27265024185180664,,59.42651917686136,0.45870716262369116,0.7593984962406015,1.6926832806996488
diabetes,regression,309,10,block,0.3,0.2660633484162896,4,random,,tabicl_aware,0.26973676681518555,,63.79807724911788,0.3761403820237138,0.7669172932330827,1.8621036249856895
diabetes,regression,309,10,block,0.5,0.4819004524886878,4,random,,tabicl_aware,0.2715287208557129,,70.30147301723993,0.24246876549895968,0.7744360902255639,1.967808451262777
diabetes,regression,309,10,block_shift,0.3,0.3,4,random,,tabicl_aware,0.2725255489349365,,60.74957600232842,0.43433644706392827,0.7744360902255639,1.836636988901762
diabetes,regression,309,10,block_shift,0.5,0.5,4,random,,tabicl_aware,0.2723824977874756,,68.97066923466399,0.2708773750047855,0.7142857142857143,1.8266419274175436
openml:531,regression,354,13,none,0.0,0.0,0,random,,tabicl_aware,0.2746918201446533,,3.2652352288968536,0.8790978882201432,0.8355263157894737,0.5809775109328731
openml:531,regression,354,13,block,0.3,0.3076923076923077,0,random,,tabicl_aware,0.28005075454711914,,3.8808930001871245,0.8292077036777221,0.8223684210526315,0.8709179693811432
openml:531,regression,354,13,block,0.5,0.46153846153846156,0,random,,tabicl_aware,0.2783474922180176,,4.477590193359728,0.7726506980182603,0.8421052631578947,0.9577960838306625
openml:531,regression,354,13,block_shift,0.3,0.23076923076923078,0,random,,tabicl_aware,0.275310754776001,,4.585452985211635,0.761565316465509,0.8223684210526315,1.0018763611652024
openml:531,regression,354,13,block_shift,0.5,0.46153846153846156,0,random,,tabicl_aware,0.27735304832458496,,3.72347667134473,0.8427820192280249,0.8223684210526315,1.034683594935277
openml:531,regression,354,13,none,0.0,0.0,1,random,,tabicl_aware,0.2753171920776367,,2.7686492517892405,0.9054133322124638,0.8223684210526315,0.6468075823220922
openml:531,regression,354,13,block,0.3,0.3076923076923077,1,random,,tabicl_aware,0.31363773345947266,,4.076643654172739,0.7949312204736427,0.7894736842105263,0.9058583839056966
openml:531,regression,354,13,block,0.5,0.4350866524779568,1,random,,tabicl_aware,0.2756226062774658,,5.821623181434138,0.5818017340165256,0.6842105263157895,0.8812141325121859
openml:531,regression,354,13,block_shift,0.3,0.28412891456369715,1,random,,tabicl_aware,0.2769196033477783,,4.336517784905566,0.7679528125253072,0.7894736842105263,1.0165833814575955
openml:531,regression,354,13,block_shift,0.5,0.4350866524779568,1,random,,tabicl_aware,0.27593469619750977,,5.054413863584111,0.684764118594017,0.6776315789473685,0.9003066566523868
openml:531,regression,354,13,none,0.0,0.0,2,random,,tabicl_aware,0.27460169792175293,,2.8401253499571437,0.8739366605845261,0.756578947368421,0.6507221143974604
openml:531,regression,354,13,block,0.3,0.233201581027668,2,random,,tabicl_aware,0.27583765983581543,,3.3510754458977634,0.8244979465705776,0.8355263157894737,0.8521024091534319
openml:531,regression,354,13,block,0.5,0.43402249923989056,2,random,,tabicl_aware,0.27625250816345215,,4.769108641808767,0.64454205744801,0.756578947368421,1.2653810755872412
openml:531,regression,354,13,block_shift,0.3,0.3076923076923077,2,random,,tabicl_aware,0.274799108505249,,5.298084641188771,0.561316221596847,0.7894736842105263,1.3496793683251138
openml:531,regression,354,13,block_shift,0.5,0.4378230465186987,2,random,,tabicl_aware,0.27536439895629883,,5.841216345573393,0.4667628794001537,0.7960526315789473,1.3882799267426673
openml:531,regression,354,13,none,0.0,0.0,3,random,,tabicl_aware,0.2730677127838135,,2.4503855127396257,0.9231201572100658,0.7763157894736842,0.5996106853998083
openml:531,regression,354,13,block,0.3,0.3076923076923077,3,random,,tabicl_aware,0.2745838165283203,,3.85027546018903,0.8101864302085787,0.7894736842105263,0.953398871433093
openml:531,regression,354,13,block,0.5,0.46153846153846156,3,random,,tabicl_aware,0.2770826816558838,,4.281210558146547,0.7653195945492537,0.7236842105263158,0.9833448170362828
openml:531,regression,354,13,block_shift,0.3,0.3076923076923077,3,random,,tabicl_aware,0.28052449226379395,,4.042956129844008,0.7907132605946858,0.8157894736842105,1.107085644368803
openml:531,regression,354,13,block_shift,0.5,0.43645484949832775,3,random,,tabicl_aware,0.28032946586608887,,4.945114006059293,0.6868904809685437,0.7894736842105263,1.4077647279248549
openml:531,regression,354,13,none,0.0,0.0,4,random,,tabicl_aware,0.2769339084625244,,2.06197058645732,0.9399318494613915,0.8026315789473685,0.6132168737384985
openml:531,regression,354,13,block,0.3,0.2818485861964123,4,random,,tabicl_aware,0.3235499858856201,,3.108259453888517,0.8635059075558096,0.8026315789473685,0.8927133181483963
openml:531,regression,354,13,block,0.5,0.46153846153846156,4,random,,tabicl_aware,0.28112363815307617,,4.500838466549895,0.713802271954812,0.8026315789473685,1.1850949678428178
