dataset,task,mechanism,rate,model,rmse,r2,coverage80,width80,rmse_std,r2_std,coverage80_std,width80_std,n_fits
diabetes,regression,block,0.3,tabicl_aware,59.188346994653195,0.41715218360878153,0.7984962406015038,1.8810172345787173,3.0912664706636535,0.030549259966594806,0.02882750302658771,0.10241319193642087,5
diabetes,regression,block,0.5,tabicl_aware,64.86393984645801,0.30002633072951185,0.7834586466165414,2.008369393834324,3.726190926881784,0.042848898968998676,0.03811666723499723,0.18672305825106536,5
diabetes,regression,block_shift,0.3,tabicl_aware,59.09000563369317,0.41799384158035907,0.8075187969924812,1.8774196611470266,0.9553478785269672,0.02964515038926158,0.034290990228545495,0.0924478399542407,5
diabetes,regression,block_shift,0.5,tabicl_aware,64.54747705326257,0.3067767121704107,0.7789473684210526,2.0278873682421676,2.7398755797819505,0.02219313926739088,0.05116097995850824,0.18601638466197182,5
diabetes,regression,none,0.0,tabicl_aware,56.0760978423674,0.47665765001158444,0.7879699248120301,1.783511343338888,3.388364574600632,0.03887653327330981,0.05165583169118094,0.1100351547954668,5
openml:189,regression,block,0.3,tabicl_aware,0.18118609893753093,0.5153436036824031,0.8055555555555556,1.747845765993428,0.01717079545864147,0.094606146722161,0.0148864011188603,0.21830246384678992,5
openml:189,regression,block,0.5,tabicl_aware,0.225987201565954,0.2529570735105663,0.8119999999999999,2.2806782571343804,0.00851268218621037,0.0399886147223234,0.01864880097426583,0.07975928782279124,5
openml:189,regression,block_shift,0.3,tabicl_aware,0.19026878028133865,0.46976564943522225,0.8046666666666666,1.8457136747823342,0.011534926036358676,0.05525664444264043,0.026867300792075315,0.11479449354039187,5
openml:189,regression,block_shift,0.5,tabicl_aware,0.22134338091179345,0.28322309266949947,0.8031111111111111,2.2031594474624825,0.006800471015993722,0.03441409099436682,0.007950463919999217,0.07956449809533904,5
openml:189,regression,none,0.0,tabicl_aware,0.0757214209150644,0.9160294365232746,0.8237777777777777,0.7506155630538196,0.0020838313440637414,0.005686035216630406,0.007053586776935056,0.010870098103941381,5
openml:42225,regression,block,0.3,tabicl_aware,972.0666609193104,0.9375542231694552,0.8162222222222223,0.3692921596909769,175.93776359280926,0.02179007582413114,0.02334126849198252,0.07713206126699082,5
openml:42225,regression,block,0.5,tabicl_aware,1224.057815017254,0.903114146364727,0.8086666666666666,0.49078442027613167,82.54102418467663,0.011750882498361193,0.015018507101425079,0.04824749194192689,5
openml:42225,regression,block_shift,0.3,tabicl_aware,1155.9330800760536,0.9115543273259703,0.8122222222222222,0.4829837245105783,226.5339243107846,0.03192435605303357,0.015713484026367738,0.05646606026910957,5
openml:42225,regression,block_shift,0.5,tabicl_aware,1120.0906131904023,0.9179557492845104,0.806,0.491326126191536,150.22201292012477,0.021366801028019244,0.017788191394473442,0.044274642225042266,5
openml:42225,regression,none,0.0,tabicl_aware,608.7355560276872,0.9758786492402377,0.8322222222222223,0.23980280520544017,69.42338900681861,0.005259131642211903,0.02182986967154283,0.012621196464937175,5
openml:44970,regression,block,0.3,tabicl_aware,1.0000700063906804,0.527322372943164,0.7846153846153846,1.5271778315510849,0.07260321929413781,0.07781269502628424,0.014514002019164083,0.11327289773934783,5
openml:44970,regression,block,0.5,tabicl_aware,1.096919994731245,0.43437914887727186,0.8007326007326008,1.7647098140189261,0.05167158309064879,0.04948518318247351,0.012582830796569721,0.08977941805448321,5
openml:44970,regression,block_shift,0.3,tabicl_aware,1.031294362534629,0.4994174980309882,0.7890109890109891,1.6360766664545778,0.028855382324156176,0.04351115374884663,0.02081798130165981,0.06961217862290682,5
