dataset,task,n_train,n_features,mechanism,rate,actual_rate,seed,split,held_out_source,model,seconds,error,rmse,r2,coverage80,width80
diabetes,regression,309,10,none,0.0,0.0,0,random,,tabicl_aware,1.7017016410827637,,55.931190954081075,0.4917497889905501,0.7669172932330827,1.7133587475879513
diabetes,regression,212,10,block,0.3,0.24796380090497738,0,source,0.0,tabicl_aware,0.3313260078430176,,66.54825028408177,0.30392609649473834,0.6826086956521739,1.8367850333281588
diabetes,regression,355,10,block,0.5,0.5,0,source,1.0,tabicl_aware,0.2651350498199463,,62.78626729456574,0.2835635946116716,0.8735632183908046,2.296044869770308
diabetes,regression,212,10,block_shift,0.3,0.24796380090497738,0,source,0.0,tabicl_aware,0.25756406784057617,,83.9797160806776,-0.10848768713063861,0.4956521739130435,1.3235939697964536
diabetes,regression,355,10,block_shift,0.5,0.5,0,source,1.0,tabicl_aware,0.26357221603393555,,61.48238428175269,0.3130111013767608,0.8275862068965517,2.1494656615318615
diabetes,regression,309,10,none,0.0,0.0,1,random,,tabicl_aware,0.2999451160430908,,57.296644122660126,0.43835544416512673,0.7368421052631579,1.7106322346178817
diabetes,regression,309,10,block,0.3,0.3,1,source,1.0,tabicl_aware,0.2593076229095459,,59.677798117978604,0.34376880594781445,0.8345864661654135,2.1457657356730944
diabetes,regression,286,10,block,0.5,0.4339366515837104,1,source,0.0,tabicl_aware,0.261181116104126,,67.77955967532829,0.20129358608206782,0.75,2.3732990981146505
diabetes,regression,309,10,block_shift,0.3,0.3,1,source,1.0,tabicl_aware,0.2614779472351074,,63.780720401881574,0.25043356759590074,0.7593984962406015,2.076691940180965
diabetes,regression,286,10,block_shift,0.5,0.4669683257918552,1,source,0.0,tabicl_aware,0.2586698532104492,,69.55981587107688,0.15878592003097625,0.7564102564102564,2.3250316640854702
diabetes,regression,309,10,none,0.0,0.0,2,random,,tabicl_aware,0.2589550018310547,,57.24581196686066,0.4571687870950548,0.7593984962406015,1.760436603311043
diabetes,regression,211,10,block,0.3,0.20452488687782805,2,source,0.0,tabicl_aware,0.25940489768981934,,60.159317093829614,0.4022541933605528,0.7532467532467533,1.814719817861152
diabetes,regression,293,10,block,0.5,0.4291855203619909,2,source,0.0,tabicl_aware,0.26064205169677734,,62.365747495389854,0.3725529783685366,0.7919463087248322,1.939578382212329
diabetes,regression,211,10,block_shift,0.3,0.252262443438914,2,source,0.0,tabicl_aware,0.25928401947021484,,67.03046549924736,0.25791233366477506,0.7619047619047619,2.2371522256536682
diabetes,regression,293,10,block_shift,0.5,0.466289592760181,2,source,0.0,tabicl_aware,0.2605600357055664,,69.06540644274367,0.23050475243908963,0.8120805369127517,2.240423440452133
diabetes,regression,309,10,none,0.0,0.0,3,random,,tabicl_aware,0.2605874538421631,,50.23293613052431,0.5417337287832407,0.8796992481203008,1.9521311199547768
diabetes,regression,345,10,block,0.3,0.3,3,source,2.0,tabicl_aware,0.2642056941986084,,66.52524171276669,0.33679867457474166,0.7319587628865979,1.9760228783060205
diabetes,regression,282,10,block,0.5,0.5,3,source,2.0,tabicl_aware,0.2595639228820801,,61.11137542706334,0.3739916026126737,0.84375,2.1871099988306826
diabetes,regression,345,10,block_shift,0.3,0.3,3,source,2.0,tabicl_aware,0.30573010444641113,,61.938340993389055,0.4251009374478316,0.7938144329896907,1.8982512613542786
diabetes,regression,282,10,block_shift,0.5,0.4690045248868778,3,source,2.0,tabicl_aware,0.2627274990081787,,65.79164010856863,0.2744330902771551,0.81875,2.254395858940551
diabetes,regression,309,10,none,0.0,0.0,4,random,,tabicl_aware,0.26104211807250977,,59.29479041052653,0.4611042341759414,0.7669172932330827,1.6730188392976524
diabetes,regression,292,10,block,0.3,0.3,4,source,2.0,tabicl_aware,0.2615821361541748,,62.877644410834385,0.32222082006743435,0.7666666666666667,2.081941691367052
diabetes,regression,354,10,block,0.5,0.4800904977375566,4,source,0.0,tabicl_aware,0.2622208595275879,,67.27712374394578,0.18070619370944774,0.8068181818181818,2.515774232975603
diabetes,regression,292,10,block_shift,0.3,0.3,4,source,2.0,tabicl_aware,0.26401352882385254,,59.87298122939107,0.38544965899676076,0.7866666666666666,2.041529911292837
diabetes,regression,354,10,block_shift,0.5,0.4800904977375566,4,source,0.0,tabicl_aware,0.26394176483154297,,61.24699453191259,0.32099276176624647,0.875,2.2722982770479994
openml:531,regression,354,13,none,0.0,0.0,0,random,,tabicl_aware,0.26993441581726074,,3.26102570387615,0.8794094200805949,0.8157894736842105,0.5618378929427381
openml:531,regression,261,13,block,0.3,0.3076923076923077,0,source,1.0,tabicl_aware,0.2638576030731201,,6.565173816165556,0.43971221869746446,0.689795918367347,1.3765982211799204
openml:531,regression,397,13,block,0.5,0.46153846153846156,0,source,4.0,tabicl_aware,0.2711505889892578,,5.6475854517860915,0.7017141566425735,0.7981651376146789,1.1353814068201462
openml:531,regression,261,13,block_shift,0.3,0.2680145941015506,0,source,1.0,tabicl_aware,0.2635531425476074,,5.593143375225697,0.5933408032357823,0.6,0.9611195379669467
openml:531,regression,397,13,block_shift,0.5,0.44588020674977197,0,source,4.0,tabicl_aware,0.2698197364807129,,7.18237907844985,0.5175596024969258,0.8073394495412844,1.6883896312285858
openml:531,regression,354,13,none,0.0,0.0,1,random,,tabicl_aware,0.2676243782043457,,2.73886652551398,0.9074373496286762,0.8026315789473685,0.6370191750669127
openml:531,regression,332,13,block,0.3,0.3076923076923077,1,source,2.0,tabicl_aware,0.2697322368621826,,5.4609712284755005,0.6812108079855876,0.7298850574712644,1.0147936980644137
openml:531,regression,341,13,block,0.5,0.46153846153846156,1,source,2.0,tabicl_aware,0.2661600112915039,,5.131524996924199,0.6651965304513552,0.8424242424242424,1.3902407065391302
openml:531,regression,332,13,block_shift,0.3,0.3076923076923077,1,source,2.0,tabicl_aware,0.3075275421142578,,5.583368853706379,0.6667605175860114,0.7988505747126436,1.4050046052474454
openml:531,regression,341,13,block_shift,0.5,0.4107631498935847,1,source,2.0,tabicl_aware,0.27024126052856445,,6.2600834379161014,0.5017385404568331,0.8303030303030303,2.2039134922462003
openml:531,regression,354,13,none,0.0,0.0,2,random,,tabicl_aware,0.2681081295013428,,2.8460821456615104,0.8734073029266024,0.7236842105263158,0.6371597592567568
openml:531,regression,245,13,block,0.3,0.233201581027668,2,source,0.0,tabicl_aware,0.2658998966217041,,4.923367666736932,0.7369839837839357,0.7203065134099617,0.9356433486148008
openml:531,regression,337,13,block,0.5,0.46153846153846156,2,source,0.0,tabicl_aware,0.26608753204345703,,5.261802426668166,0.6763323473646426,0.893491124260355,1.4149537198146755
openml:531,regression,245,13,block_shift,0.3,0.233201581027668,2,source,0.0,tabicl_aware,0.2664530277252197,,6.938648854783901,0.47759481792070213,0.632183908045977,1.4427917260852825
openml:531,regression,337,13,block_shift,0.5,0.4103070842201277,2,source,0.0,tabicl_aware,0.27097415924072266,,7.704198030357884,0.3061188345482888,0.7100591715976331,1.2955039355365663
openml:531,regression,354,13,none,0.0,0.0,3,random,,tabicl_aware,0.26616597175598145,,2.4714324548328728,0.9217938070081902,0.7631578947368421,0.5927213330376673
