dataset,task,n_train,n_features,mechanism,rate,actual_rate,seed,split,held_out_source,model,seconds,error,rmse,r2,coverage80,width80
diabetes,regression,309,10,none,0.0,0.0,0,random,,tabicl_aware,1.6952459812164307,,55.931190954081075,0.4917497889905501,0.7669172932330827,1.7133587475879513
diabetes,regression,309,10,block,0.3,0.3,0,random,,tabicl_aware,0.3434140682220459,,59.1566414091602,0.43143980414602057,0.7819548872180451,1.7912725943895784
diabetes,regression,309,10,block,0.5,0.5,0,random,,tabicl_aware,0.2665119171142578,,65.85416221143832,0.295410946187851,0.7368421052631579,1.918301266718165
diabetes,regression,309,10,block_shift,0.3,0.3,0,random,,tabicl_aware,0.2651338577270508,,58.91361063533077,0.4361017926018763,0.7744360902255639,1.8365265321637998
diabetes,regression,309,10,block_shift,0.5,0.5,0,random,,tabicl_aware,0.26501917839050293,,65.21066754449548,0.3091134696202028,0.7669172932330827,1.9211537063827488
diabetes,regression,309,10,none,0.0,0.0,1,random,,tabicl_aware,0.3020174503326416,,57.296644122660126,0.43835544416512673,0.7368421052631579,1.7106322346178817
diabetes,regression,309,10,block,0.3,0.266289592760181,1,random,,tabicl_aware,0.26453137397766113,,59.717199468296684,0.38989856461410066,0.7744360902255639,1.8108971091899944
diabetes,regression,309,10,block,0.5,0.40226244343891404,1,random,,tabicl_aware,0.26435303688049316,,61.276751576720756,0.35761609651714954,0.7443609022556391,1.8132619578859956
diabetes,regression,309,10,block_shift,0.3,0.26380090497737557,1,random,,tabicl_aware,0.26020073890686035,,58.79335603199679,0.40862946235755826,0.8120300751879699,1.822849683981633
diabetes,regression,309,10,block_shift,0.5,0.5,1,random,,tabicl_aware,0.26088666915893555,,63.20092836082493,0.31663914582712516,0.7744360902255639,1.9471564218982487
diabetes,regression,309,10,none,0.0,0.0,2,random,,tabicl_aware,0.26033711433410645,,57.24581196686066,0.4571687870950548,0.7593984962406015,1.760436603311043
diabetes,regression,309,10,block,0.3,0.252262443438914,2,random,,tabicl_aware,0.26085400581359863,,58.807220810593925,0.4271529471182317,0.8195488721804511,1.843448038228481
diabetes,regression,309,10,block,0.5,0.46289592760181,2,random,,tabicl_aware,0.26245546340942383,,65.72051852578078,0.28454992279945557,0.7593984962406015,1.9834192329617888
diabetes,regression,309,10,block_shift,0.3,0.2,2,random,,tabicl_aware,0.26080894470214844,,58.38161097012799,0.43541475815988007,0.8345864661654135,1.8035567053070045
diabetes,regression,309,10,block_shift,0.5,0.43710407239819005,2,random,,tabicl_aware,0.261671781539917,,63.668739984586935,0.3285249462493701,0.7819548872180451,2.082356525679565
diabetes,regression,309,10,none,0.0,0.0,3,random,,tabicl_aware,0.25929832458496094,,50.23293613052431,0.5417337287832407,0.8796992481203008,1.9521311199547768
diabetes,regression,309,10,block,0.3,0.3,3,random,,tabicl_aware,0.26143574714660645,,54.91731788707973,0.4522789854414332,0.8421052631578947,2.036220988472721
diabetes,regression,309,10,block,0.5,0.4276018099547511,3,random,,tabicl_aware,0.26247119903564453,,61.36166637145251,0.3161906150624877,0.849624060150376,2.2982416579271363
diabetes,regression,309,10,block_shift,0.3,0.3,3,random,,tabicl_aware,0.30614709854125977,,58.91516238296751,0.3696308875469626,0.8270676691729323,2.0133368330888293
diabetes,regression,309,10,block_shift,0.5,0.4671945701357466,3,random,,tabicl_aware,0.26195693016052246,,61.596516065835246,0.3109463069292714,0.8571428571428571,2.3040007900794692
diabetes,regression,309,10,none,0.0,0.0,4,random,,tabicl_aware,0.260772705078125,,59.29479041052653,0.4611042341759414,0.7669172932330827,1.6730188392976524
diabetes,regression,309,10,block,0.3,0.2660633484162896,4,random,,tabicl_aware,0.26115918159484863,,63.48920287851654,0.3821665131112988,0.7593984962406015,1.852829634579837
diabetes,regression,309,10,block,0.5,0.4819004524886878,4,random,,tabicl_aware,0.2630891799926758,,70.40726817676804,0.2401870653526359,0.7669172932330827,1.952392227416529
diabetes,regression,309,10,block_shift,0.3,0.3,4,random,,tabicl_aware,0.26093268394470215,,60.579771698290656,0.43749425892421445,0.7669172932330827,1.823460298100845
diabetes,regression,309,10,block_shift,0.5,0.5,4,random,,tabicl_aware,0.26174283027648926,,68.7853863907572,0.2747895439551823,0.7293233082706767,1.8254597260006158
openml:531,regression,354,13,none,0.0,0.0,0,random,,tabicl_aware,0.26462268829345703,,3.26102570387615,0.8794094200805949,0.8157894736842105,0.5618378929427381
openml:531,regression,354,13,block,0.3,0.3076923076923077,0,random,,tabicl_aware,0.26967906951904297,,3.883521582972064,0.8289762653324159,0.7960526315789473,0.8591569526415919
openml:531,regression,354,13,block,0.5,0.46153846153846156,0,random,,tabicl_aware,0.26796579360961914,,4.469830763887706,0.7734379841480222,0.8026315789473685,0.9602845946906645
openml:531,regression,354,13,block_shift,0.3,0.23076923076923078,0,random,,tabicl_aware,0.26657581329345703,,4.558949271542593,0.7643136345327631,0.8223684210526315,0.9675465089114512
openml:531,regression,354,13,block_shift,0.5,0.46153846153846156,0,random,,tabicl_aware,0.2665994167327881,,3.6589438277975885,0.8481843916603529,0.8092105263157895,1.020991098108949
openml:531,regression,354,13,none,0.0,0.0,1,random,,tabicl_aware,0.26541686058044434,,2.73886652551398,0.9074373496286762,0.8026315789473685,0.6370191750669127
openml:531,regression,354,13,block,0.3,0.3076923076923077,1,random,,tabicl_aware,0.2706339359283447,,4.137086896460578,0.7888051463166603,0.7828947368421053,0.8932330404222224
openml:531,regression,354,13,block,0.5,0.4350866524779568,1,random,,tabicl_aware,0.26799511909484863,,5.8331730792989855,0.5801407063166055,0.6842105263157895,0.8695359175542282
openml:531,regression,354,13,block_shift,0.3,0.28412891456369715,1,random,,tabicl_aware,0.3062572479248047,,4.339312082834939,0.7676536702579406,0.7828947368421053,0.9882977092965841
openml:531,regression,354,13,block_shift,0.5,0.4350866524779568,1,random,,tabicl_aware,0.2685723304748535,,5.063323506217675,0.6836517781400464,0.6776315789473685,0.8845654981482215
openml:531,regression,354,13,none,0.0,0.0,2,random,,tabicl_aware,0.264934778213501,,2.8460821456615104,0.8734073029266024,0.7236842105263158,0.6371597592567568
openml:531,regression,354,13,block,0.3,0.233201581027668,2,random,,tabicl_aware,0.2683253288269043,,3.2314362917661974,0.8368056994300266,0.8421052631578947,0.866068927413126
openml:531,regression,354,13,block,0.5,0.43402249923989056,2,random,,tabicl_aware,0.26749205589294434,,4.755615242171653,0.6465506302087518,0.7631578947368421,1.2513245445975065
openml:531,regression,354,13,block_shift,0.3,0.3076923076923077,2,random,,tabicl_aware,0.2683422565460205,,5.288025001887382,0.5629805253312948,0.7894736842105263,1.304672526416166
openml:531,regression,354,13,block_shift,0.5,0.4378230465186987,2,random,,tabicl_aware,0.2680225372314453,,5.825739732585106,0.46958481615763137,0.7828947368421053,1.3682453582566452
openml:531,regression,354,13,none,0.0,0.0,3,random,,tabicl_aware,0.2647383213043213,,2.4714324548328728,0.9217938070081902,0.7631578947368421,0.5927213330376673
openml:531,regression,354,13,block,0.3,0.3076923076923077,3,random,,tabicl_aware,0.26825475692749023,,3.8864934663971242,0.8065986335659941,0.8026315789473685,0.946696963152482
openml:531,regression,354,13,block,0.5,0.46153846153846156,3,random,,tabicl_aware,0.2708258628845215,,4.294085278795482,0.7639059813861999,0.743421052631579,0.9780298007164224
openml:531,regression,354,13,block_shift,0.3,0.3076923076923077,3,random,,tabicl_aware,0.26795029640197754,,4.0697596959721345,0.787929047335943,0.8223684210526315,1.0901454259677308
openml:531,regression,354,13,block_shift,0.5,0.43645484949832775,3,random,,tabicl_aware,0.2681553363800049,,4.918637181074034,0.6902343685440258,0.7631578947368421,1.3724739821408358
openml:531,regression,354,13,none,0.0,0.0,4,random,,tabicl_aware,0.3083202838897705,,2.073222890776248,0.9392744692419825,0.7763157894736842,0.5970545257455716
openml:531,regression,354,13,block,0.3,0.2818485861964123,4,random,,tabicl_aware,0.2689208984375,,3.1025044704698734,0.8640108808689638,0.8026315789473685,0.8825875077187054
openml:531,regression,354,13,block,0.5,0.46153846153846156,4,random,,tabicl_aware,0.2683684825897217,,4.508270143406255,0.7128563659798001,0.8026315789473685,1.186620609520146
openml:531,regression,354,13,block_shift,0.3,0.3076923076923077,4,random,,tabicl_aware,0.2696809768676758,,3.774222858099195,0.7987506854536632,0.8223684210526315,1.0008381702503673
openml:531,regression,354,13,block_shift,0.5,0.46153846153846156,4,random,,tabicl_aware,0.2685048580169678,,3.9012784357767036,0.7849728874556575,0.8092105263157895,1.0045113178030936
openml:189,regression,2100,8,none,0.0,0.0,0,random,,tabicl_aware,0.3552389144897461,,0.07352798279037337,0.9211623495052152,0.8211111111111111,0.7377033609509052
openml:189,regression,2100,8,block,0.3,0.186,0,random,,tabicl_aware,0.3786451816558838,,0.19169614555241093,0.4641353217304254,0.7944444444444444,1.804690638787248
openml:189,regression,2100,8,block,0.5,0.5,0,random,,tabicl_aware,0.3106119632720947,,0.22546240837054937,0.2587296080962822,0.7866666666666666,2.1845295838236862
openml:189,regression,2100,8,block_shift,0.3,0.189,0,random,,tabicl_aware,0.3032546043395996,,0.18818657076196352,0.48357693977921024,0.7866666666666666,1.8142844654620398
openml:189,regression,2100,8,block_shift,0.5,0.5,0,random,,tabicl_aware,0.3095977306365967,,0.22935763132761616,0.23289509486731064,0.8022222222222222,2.317716480116792
openml:189,regression,2100,8,none,0.0,0.0,1,random,,tabicl_aware,0.30811595916748047,,0.07779783489004831,0.9066427743101865,0.8088888888888889,0.7566813624831555
openml:189,regression,2100,8,block,0.3,0.25,1,random,,tabicl_aware,0.30571556091308594,,0.19144783626716294,0.4346546292147795,0.8055555555555556,1.9196117074853611
openml:189,regression,2100,8,block,0.5,0.457125,1,random,,tabicl_aware,0.3122262954711914,,0.21231105490019717,0.30472256922884644,0.8444444444444444,2.2744401595372876
openml:189,regression,2100,8,block_shift,0.3,0.25,1,random,,tabicl_aware,0.3057706356048584,,0.1764845401588288,0.5195742784233229,0.8266666666666667,1.7628417033168637
openml:189,regression,2100,8,block_shift,0.5,0.4573333333333333,1,random,,tabicl_aware,0.31273627281188965,,0.2134498888766048,0.29724364469166753,0.7988888888888889,2.182750773037302
openml:189,regression,2100,8,none,0.0,0.0,2,random,,tabicl_aware,0.3082740306854248,,0.07745874269909264,0.9150920157316251,0.8144444444444444,0.7254619836588763
openml:189,regression,2100,8,block,0.3,0.188875,2,random,,tabicl_aware,0.34647631645202637,,0.15812709693283158,0.6461491528252172,0.7844444444444445,1.3845620162586378
openml:189,regression,2100,8,block,0.5,0.5,2,random,,tabicl_aware,0.3129734992980957,,0.2331829987860436,0.2305127814637009,0.8044444444444444,2.2588483742113468
openml:189,regression,2100,8,block_shift,0.3,0.25,2,random,,tabicl_aware,0.30523109436035156,,0.18569613950729252,0.5120072222874814,0.7722222222222223,1.6797703005449414
openml:189,regression,2100,8,block_shift,0.5,0.458625,2,random,,tabicl_aware,0.31444406509399414,,0.21918218406098242,0.32014210609631355,0.8011111111111111,2.133273660239443
openml:189,regression,2100,8,none,0.0,0.0,3,random,,tabicl_aware,0.31038761138916016,,0.07346740507760602,0.9202299581971908,0.8255555555555556,0.738562659279202
openml:189,regression,2100,8,block,0.3,0.25,3,random,,tabicl_aware,0.30622339248657227,,0.16787610891909577,0.5834873389584991,0.8155555555555556,1.6620650570751403
openml:189,regression,2100,8,block,0.5,0.45925,3,random,,tabicl_aware,0.3124063014984131,,0.23295411840367103,0.19796890910396547,0.8166666666666667,2.3684579099252687
openml:189,regression,2100,8,block_shift,0.3,0.25,3,random,,tabicl_aware,0.30606770515441895,,0.19197217874585507,0.455338087987064,0.8311111111111111,1.9306404835495556
openml:189,regression,2100,8,block_shift,0.5,0.4570416666666667,3,random,,tabicl_aware,0.31213855743408203,,0.2154001176660834,0.3142871453340297,0.7966666666666666,2.100869170297767
openml:189,regression,2100,8,none,0.0,0.0,4,random,,tabicl_aware,0.30852532386779785,,0.07692786010960938,0.9157475693922494,0.82,0.7416102138036901
openml:189,regression,2100,8,block,0.3,0.25,4,random,,tabicl_aware,0.30610060691833496,,0.19631562193060823,0.4513127665974267,0.7988888888888889,1.8844160904516416
openml:189,regression,2100,8,block,0.5,0.5,4,random,,tabicl_aware,0.3129692077636719,,0.2269065890539737,0.2669909279683761,0.7922222222222223,2.1818212794268006
openml:189,regression,2100,8,block_shift,0.3,0.25,4,random,,tabicl_aware,0.34810853004455566,,0.20900502194937368,0.3780885140791176,0.7755555555555556,1.943371134287252
openml:189,regression,2100,8,block_shift,0.5,0.5,4,random,,tabicl_aware,0.3134341239929199,,0.22695696295239745,0.2666654317069751,0.7888888888888889,2.163533161247277
openml:42225,regression,2100,9,none,0.0,0.0,0,random,,tabicl_aware,0.3119325637817383,,663.456192028692,0.9708171767331059,0.8511111111111112,0.24091247053484705
openml:42225,regression,2100,9,block,0.3,0.27644444444444444,0,random,,tabicl_aware,0.310528039932251,,773.005050946849,0.960384288071659,0.8388888888888889,0.254207333244341
openml:42225,regression,2100,9,block,0.5,0.42188888888888887,0,random,,tabicl_aware,0.3186042308807373,,1268.6582308137695,0.893293202872664,0.8177777777777778,0.49188623681507976
openml:42225,regression,2100,9,block_shift,0.3,0.27644444444444444,0,random,,tabicl_aware,0.31015872955322266,,1222.2906126685361,0.9009506216229028,0.8211111111111111,0.44610189571196757
openml:42225,regression,2100,9,block_shift,0.5,0.42288888888888887,0,random,,tabicl_aware,0.320695161819458,,1264.8957544114912,0.893925187841477,0.8111111111111111,0.5506092461476415
openml:42225,regression,2100,9,none,0.0,0.0,1,random,,tabicl_aware,0.31476449966430664,,517.3005820846649,0.9823812282897558,0.8155555555555556,0.2188467879660383
openml:42225,regression,2100,9,block,0.3,0.3333333333333333,1,random,,tabicl_aware,0.3193967342376709,,1081.571885319205,0.9229805392981022,0.7877777777777778,0.44857591415861225
openml:42225,regression,2100,9,block,0.5,0.4063333333333333,1,random,,tabicl_aware,0.3188447952270508,,1115.9724554513941,0.9180032488878015,0.7888888888888889,0.4683262476610215
openml:42225,regression,2100,9,block_shift,0.3,0.3333333333333333,1,random,,tabicl_aware,0.31003832817077637,,897.0555793542277,0.9470179939908842,0.8266666666666667,0.4356900392062315
openml:42225,regression,2100,9,block_shift,0.5,0.4065185185185185,1,random,,tabicl_aware,0.3194866180419922,,1016.4022257905314,0.931982461825437,0.8033333333333333,0.4348750619206884
openml:42225,regression,2100,9,none,0.0,0.0,2,random,,tabicl_aware,0.312694787979126,,681.4837933129635,0.9711229312482464,0.8455555555555555,0.24924707719324624
openml:42225,regression,2100,9,block,0.3,0.3333333333333333,2,random,,tabicl_aware,0.31873631477355957,,994.5440583385872,0.9384978785041033,0.8122222222222222,0.33347770879026284
openml:42225,regression,2100,9,block,0.5,0.4444444444444444,2,random,,tabicl_aware,0.3173072338104248,,1336.2141824704752,0.8889817961631087,0.7977777777777778,0.5289610854087784
openml:42225,regression,2100,9,block_shift,0.3,0.3333333333333333,2,random,,tabicl_aware,0.3102695941925049,,1418.553993557177,0.8748779693618306,0.7922222222222223,0.5722593539628816
openml:42225,regression,2100,9,block_shift,0.5,0.4076666666666667,2,random,,tabicl_aware,0.35697507858276367,,1275.306281838993,0.8988720879958444,0.7922222222222223,0.49779673489916026
openml:42225,regression,2100,9,none,0.0,0.0,3,random,,tabicl_aware,0.31212878227233887,,545.3618799795887,0.9808492772725506,0.8377777777777777,0.2269746238211633
openml:42225,regression,2100,9,block,0.3,0.3333333333333333,3,random,,tabicl_aware,0.3185889720916748,,807.0377823029615,0.9580624218806281,0.8344444444444444,0.3596123478288948
openml:42225,regression,2100,9,block,0.5,0.3715185185185185,3,random,,tabicl_aware,0.31868958473205566,,1214.3423280343277,0.905049363805426,0.8288888888888889,0.535234572491552
openml:42225,regression,2100,9,block_shift,0.3,0.3333333333333333,3,random,,tabicl_aware,0.3180410861968994,,942.3202425010451,0.9428241468979186,0.8033333333333333,0.42872840291545666
openml:42225,regression,2100,9,block_shift,0.5,0.40625925925925926,3,random,,tabicl_aware,0.3189060688018799,,906.752556166633,0.9470588721381127,0.8222222222222222,0.4653658445327711
openml:42225,regression,2100,9,none,0.0,0.0,4,random,,tabicl_aware,0.3124971389770508,,601.7728519647544,0.9768384241684247,0.8011111111111111,0.24422528397370039
openml:42225,regression,2100,9,block,0.3,0.3333333333333333,4,random,,tabicl_aware,0.3186805248260498,,1191.920446679278,0.9091348263168582,0.7855555555555556,0.439978988553399
openml:42225,regression,2100,9,block,0.5,0.4444444444444444,4,random,,tabicl_aware,0.31903982162475586,,1172.713330820393,0.9120397114659012,0.8,0.4205546875538091
openml:42225,regression,2100,9,block_shift,0.3,0.3333333333333333,4,random,,tabicl_aware,0.31813597679138184,,1290.7234835279667,0.8934461013138225,0.7944444444444444,0.4978360488227289
openml:42225,regression,2100,9,block_shift,0.5,0.422,4,random,,tabicl_aware,0.3177967071533203,,1116.8675313394494,0.9202177550391596,0.79,0.4750888340869851
openml:44970,regression,635,6,none,0.0,0.0,0,random,,tabicl_aware,0.2787506580352783,,0.8602808112138126,0.6413448362738886,0.8131868131868132,1.2549142518497012
openml:44970,regression,635,6,block,0.3,0.25073421439060206,0,random,,tabicl_aware,0.3207521438598633,,1.0562106595378935,0.45937302868148067,0.8021978021978022,1.641821488751744
openml:44970,regression,635,6,block,0.5,0.5,0,random,,tabicl_aware,0.2790029048919678,,1.011484175156564,0.504190548759351,0.7802197802197802,1.6343711102965217
openml:44970,regression,635,6,block_shift,0.3,0.25073421439060206,0,random,,tabicl_aware,0.2782254219055176,,1.0169751204374793,0.4987928327756608,0.7948717948717948,1.5814031999330178
openml:44970,regression,635,6,block_shift,0.5,0.5,0,random,,tabicl_aware,0.2785651683807373,,1.0235471493250639,0.49229396922477164,0.8095238095238095,1.7450282094110463
openml:44970,regression,635,6,none,0.0,0.0,1,random,,tabicl_aware,0.27593469619750977,,0.8295573068537364,0.6772591038969372,0.8095238095238095,1.2177112112818955
openml:44970,regression,635,6,block,0.3,0.3333333333333333,1,random,,tabicl_aware,0.2774322032928467,,1.0959448649887626,0.43670145850648556,0.7435897435897436,1.5962579952161025
openml:44970,regression,635,6,block,0.5,0.4430983847283407,1,random,,tabicl_aware,0.27861738204956055,,1.1403583119036054,0.39012071940950743,0.8021978021978022,1.8580744751500184
openml:44970,regression,635,6,block_shift,0.3,0.3333333333333333,1,random,,tabicl_aware,0.27590298652648926,,1.0602728275264757,0.47277441476652315,0.7948717948717948,1.684453477466806
openml:44970,regression,635,6,block_shift,0.5,0.4430983847283407,1,random,,tabicl_aware,0.2794528007507324,,1.1255741037327087,0.40583180649467265,0.7948717948717948,1.7507734876081742
openml:44970,regression,635,6,none,0.0,0.0,2,random,,tabicl_aware,0.2761855125427246,,0.8495754399140442,0.6813005249174038,0.8241758241758241,1.2569218897632224
openml:44970,regression,635,6,block,0.3,0.2512848751835536,2,random,,tabicl_aware,0.2774534225463867,,0.9398943420993422,0.6099363138088378,0.7838827838827839,1.355057904444252
openml:44970,regression,635,6,block,0.5,0.5,2,random,,tabicl_aware,0.2792394161224365,,1.1287418524961605,0.4374427745995696,0.8131868131868132,1.7345746807236377
openml:44970,regression,635,6,block_shift,0.3,0.3333333333333333,2,random,,tabicl_aware,0.2772393226623535,,0.9844326969187467,0.5720928828834839,0.8021978021978022,1.5229447513482939
openml:44970,regression,635,6,block_shift,0.5,0.4440161527165932,2,random,,tabicl_aware,0.2827432155609131,,1.0635474922096422,0.5005509103873612,0.8168498168498168,1.5924323573399046
openml:44970,regression,635,6,none,0.0,0.0,3,random,,tabicl_aware,0.277754545211792,,0.811297939720468,0.6985836764751436,0.7875457875457875,1.2266904381010515
openml:44970,regression,635,6,block,0.3,0.3333333333333333,3,random,,tabicl_aware,0.2776215076446533,,0.9566365548938055,0.5809170751674555,0.7728937728937729,1.509846616684916
openml:44970,regression,635,6,block,0.5,0.44713656387665196,3,random,,tabicl_aware,0.317716121673584,,1.0924733911350988,0.4534526941449688,0.7875457875457875,1.7007600565867593
openml:44970,regression,635,6,block_shift,0.3,0.2881791483113069,3,random,,tabicl_aware,0.2766456604003906,,1.0429225960464812,0.5019073007452344,0.7948717948717948,1.6780346170822447
openml:44970,regression,635,6,block_shift,0.5,0.5,3,random,,tabicl_aware,0.278458833694458,,1.1392393090216097,0.4056586511651964,0.7802197802197802,1.7223441741617942
openml:44970,regression,635,6,none,0.0,0.0,4,random,,tabicl_aware,0.27600646018981934,,0.8204332800289242,0.6659635824193946,0.8095238095238095,1.3115499046143613
openml:44970,regression,635,6,block,0.3,0.3333333333333333,4,random,,tabicl_aware,0.277484655380249,,0.950954938685974,0.5512265492375719,0.7912087912087912,1.4736680944527785
openml:44970,regression,635,6,block,0.5,0.5,4,random,,tabicl_aware,0.28013086318969727,,1.1068361424150446,0.3920414871241392,0.8021978021978022,1.8132712091825285
openml:44970,regression,635,6,block_shift,0.3,0.3333333333333333,4,random,,tabicl_aware,0.2772939205169678,,1.0474299446606723,0.4555509414377388,0.7619047619047619,1.6695966956512145
openml:44970,regression,635,6,block_shift,0.5,0.5,4,random,,tabicl_aware,0.2796347141265869,,1.1626281699694632,0.3292063188917004,0.73992673992674,1.7764292045016536
openml:507,regression,2100,6,none,0.0,0.0,0,random,,tabicl_aware,0.3010563850402832,,0.11094028970670482,0.7336713810157407,0.7833333333333333,0.937899025999733
openml:507,regression,2100,6,block,0.3,0.248,0,random,,tabicl_aware,0.29860925674438477,,0.12724770711773062,0.6496201060663986,0.7811111111111111,1.070072050809542
openml:507,regression,2100,6,block,0.5,0.5,0,random,,tabicl_aware,0.3049125671386719,,0.16605498738478783,0.4033177843245995,0.7966666666666666,1.5332098882004384
openml:507,regression,2100,6,block_shift,0.3,0.252,0,random,,tabicl_aware,0.30341100692749023,,0.1670846735444337,0.3958949381532201,0.7644444444444445,1.5237772313355176
openml:507,regression,2100,6,block_shift,0.5,0.5,0,random,,tabicl_aware,0.3470613956451416,,0.1744007298779816,0.34183339583995,0.7666666666666667,1.6107473257948333
openml:507,regression,2100,6,none,0.0,0.0,1,random,,tabicl_aware,0.3026089668273926,,0.11058936786660287,0.7391315409082355,0.77,0.919775643429302
openml:507,regression,2100,6,block,0.3,0.2776111111111111,1,random,,tabicl_aware,0.3004593849182129,,0.1324617788184021,0.6257377817244014,0.7644444444444445,1.2218531781729092
openml:507,regression,2100,6,block,0.5,0.5,1,random,,tabicl_aware,0.30471372604370117,,0.16479056869151232,0.4207586905760694,0.7622222222222222,1.4501709477641964
openml:507,regression,2100,6,block_shift,0.3,0.3333333333333333,1,random,,tabicl_aware,0.29931092262268066,,0.17178230317529905,0.37056387563780624,0.7566666666666667,1.5108908200459625
openml:507,regression,2100,6,block_shift,0.5,0.44283333333333336,1,random,,tabicl_aware,0.30915307998657227,,0.16712947956181087,0.4041993903965111,0.76,1.559688374784655
openml:507,regression,2100,6,none,0.0,0.0,2,random,,tabicl_aware,0.3036632537841797,,0.11708782155101852,0.7097772212295523,0.76,0.897014783223705
openml:507,regression,2100,6,block,0.3,0.25183333333333335,2,random,,tabicl_aware,0.2996087074279785,,0.1371559685860451,0.6017667967967,0.7844444444444445,1.2032029342950612
openml:507,regression,2100,6,block,0.5,0.44483333333333336,2,random,,tabicl_aware,0.3039512634277344,,0.15794197237512614,0.4719158186314957,0.7944444444444444,1.3906601620285282
openml:507,regression,2100,6,block_shift,0.3,0.16666666666666666,2,random,,tabicl_aware,0.3000013828277588,,0.15517916441030596,0.4902293091749872,0.7866666666666666,1.333954985852419
openml:507,regression,2100,6,block_shift,0.5,0.5,2,random,,tabicl_aware,0.30707550048828125,,0.17788226388682307,0.33015651113987954,0.7777777777777778,1.6773562815872016
openml:507,regression,2100,6,none,0.0,0.0,3,random,,tabicl_aware,0.3028573989868164,,0.08685501971967029,0.78485749610579,0.79,1.0653639606770033
openml:507,regression,2100,6,block,0.3,0.3333333333333333,3,random,,tabicl_aware,0.3007650375366211,,0.12780524859355938,0.5341632457416071,0.7833333333333333,1.5474521912266763
openml:507,regression,2100,6,block,0.5,0.4449444444444444,3,random,,tabicl_aware,0.3036770820617676,,0.1330845887502875,0.4948830919454701,0.7844444444444445,1.6658277949093356
openml:507,regression,2100,6,block_shift,0.3,0.3333333333333333,3,random,,tabicl_aware,0.29933953285217285,,0.13972218617011434,0.4432411658269554,0.8066666666666666,1.8153455920384314
openml:507,regression,2100,6,block_shift,0.5,0.44272222222222224,3,random,,tabicl_aware,0.3058352470397949,,0.15566659782120726,0.3089217260685476,0.8088888888888889,2.123630118381033
openml:507,regression,2100,6,none,0.0,0.0,4,random,,tabicl_aware,0.34131574630737305,,0.10728028013909066,0.7473411714326679,0.7711111111111111,0.9132414659859751
openml:507,regression,2100,6,block,0.3,0.3333333333333333,4,random,,tabicl_aware,0.29863786697387695,,0.14065698133230292,0.5656725623385827,0.7733333333333333,1.1981401307800854
openml:507,regression,2100,6,block,0.5,0.4663333333333333,4,random,,tabicl_aware,0.30364155769348145,,0.1560137505995462,0.46565661736519537,0.8,1.525296144846393
openml:507,regression,2100,6,block_shift,0.3,0.3333333333333333,4,random,,tabicl_aware,0.29889941215515137,,0.16463616277469326,0.4049613838228323,0.7455555555555555,1.531632827242006
openml:507,regression,2100,6,block_shift,0.5,0.5,4,random,,tabicl_aware,0.30411434173583984,,0.17006158065636084,0.3650974035569643,0.7622222222222222,1.608341453596847
openml:560,regression,176,14,none,0.0,0.0,0,random,,tabicl_aware,0.2692904472351074,,1.8982900826134117,0.9493082432209261,0.8289473684210527,0.04507069776731484
openml:560,regression,176,14,block,0.3,0.2536848072562358,0,random,,tabicl_aware,0.27736449241638184,,4.65281284170672,0.6954606953551801,0.75,0.992366917735258
openml:560,regression,176,14,block,0.5,0.48667800453514737,0,random,,tabicl_aware,0.2612488269805908,,5.2614646992547645,0.6105734952877988,0.6973684210526315,1.2511650038940962
openml:560,regression,176,14,block_shift,0.3,0.2857142857142857,0,random,,tabicl_aware,0.2603302001953125,,2.4068676950544092,0.9185076915135056,0.6973684210526315,0.5239956165127074
openml:560,regression,176,14,block_shift,0.5,0.48327664399092973,0,random,,tabicl_aware,0.26098179817199707,,2.063559154523085,0.9400973506280712,0.8157894736842105,0.3329332715371793
openml:560,regression,176,14,none,0.0,0.0,1,random,,tabicl_aware,0.25824403762817383,,1.955028750562178,0.9416080109402309,0.6973684210526315,0.03897156538209413
