dataset,task,n_train,n_features,mechanism,rate,actual_rate,seed,split,held_out_source,model,seconds,error,rmse,r2,coverage80,width80
diabetes,regression,309,10,none,0.0,0.0,0,random,,tabicl_aware,1.6417381763458252,,55.98236464257075,0.49081932654607785,0.7744360902255639,1.715243971757378
diabetes,regression,212,10,block,0.3,0.24796380090497738,0,source,0.0,tabicl_aware,0.34537506103515625,,66.2988002857699,0.30913465433686516,0.691304347826087,1.8374652900726571
diabetes,regression,355,10,block,0.5,0.5,0,source,1.0,tabicl_aware,0.2920074462890625,,62.736556705402855,0.28469761256136683,0.8505747126436781,2.309270653858758
diabetes,regression,212,10,block_shift,0.3,0.24796380090497738,0,source,0.0,tabicl_aware,0.2621893882751465,,84.17570554374554,-0.11366763831210869,0.4956521739130435,1.300159545804739
diabetes,regression,355,10,block_shift,0.5,0.5,0,source,1.0,tabicl_aware,0.2665894031524658,,61.30458077732336,0.31697882029751556,0.8275862068965517,2.1404453044580203
diabetes,regression,309,10,none,0.0,0.0,1,random,,tabicl_aware,0.3061482906341553,,57.35681264737624,0.4371752330574441,0.7368421052631579,1.7068876746352353
diabetes,regression,309,10,block,0.3,0.3,1,source,1.0,tabicl_aware,0.2626044750213623,,59.682766469127614,0.3436595350689219,0.849624060150376,2.1521025645033487
diabetes,regression,286,10,block,0.5,0.4339366515837104,1,source,0.0,tabicl_aware,0.26502227783203125,,67.24748669185409,0.2137841389318128,0.7564102564102564,2.375596129415837
diabetes,regression,309,10,block_shift,0.3,0.3,1,source,1.0,tabicl_aware,0.2659568786621094,,64.29359571516727,0.23833023048677038,0.7368421052631579,2.069168690629664
diabetes,regression,286,10,block_shift,0.5,0.4669683257918552,1,source,0.0,tabicl_aware,0.2674405574798584,,69.81865639833262,0.15251375233437858,0.75,2.313283144701965
diabetes,regression,309,10,none,0.0,0.0,2,random,,tabicl_aware,0.2630269527435303,,57.26309285553463,0.456841006902717,0.7669172932330827,1.757506732511077
diabetes,regression,211,10,block,0.3,0.20452488687782805,2,source,0.0,tabicl_aware,0.2655448913574219,,60.03253618933426,0.4047709407128427,0.7359307359307359,1.7829405976990245
diabetes,regression,293,10,block,0.5,0.4291855203619909,2,source,0.0,tabicl_aware,0.26368069648742676,,62.236220665180724,0.375156549443336,0.7986577181208053,1.9431492187090422
diabetes,regression,211,10,block_shift,0.3,0.252262443438914,2,source,0.0,tabicl_aware,0.26288795471191406,,67.14136893328758,0.2554547003001867,0.7575757575757576,2.214518475855062
diabetes,regression,293,10,block_shift,0.5,0.466289592760181,2,source,0.0,tabicl_aware,0.26401257514953613,,68.78749490294014,0.23668502017451465,0.7919463087248322,2.2376206487335186
diabetes,regression,309,10,none,0.0,0.0,3,random,,tabicl_aware,0.2681140899658203,,50.36929934243187,0.5392423163914718,0.8721804511278195,1.9544481800144935
diabetes,regression,345,10,block,0.3,0.3,3,source,2.0,tabicl_aware,0.2681148052215576,,66.64797103039764,0.33434939895396154,0.7216494845360825,1.9662486576865654
diabetes,regression,282,10,block,0.5,0.5,3,source,2.0,tabicl_aware,0.26461338996887207,,61.1139822093611,0.37393819512832793,0.84375,2.192755528904289
diabetes,regression,345,10,block_shift,0.3,0.3,3,source,2.0,tabicl_aware,0.2676565647125244,,61.529434702030976,0.43266665075030586,0.7731958762886598,1.9091070027447818
diabetes,regression,282,10,block_shift,0.5,0.4690045248868778,3,source,2.0,tabicl_aware,0.3056352138519287,,65.59507354992394,0.27876218537700204,0.85,2.2889089201222372
diabetes,regression,309,10,none,0.0,0.0,4,random,,tabicl_aware,0.265200138092041,,59.26067265263492,0.46172420856438723,0.7593984962406015,1.6620920716152414
diabetes,regression,292,10,block,0.3,0.3,4,source,2.0,tabicl_aware,0.26606059074401855,,62.75325287181921,0.32489988352140464,0.7666666666666667,2.072874743488886
diabetes,regression,354,10,block,0.5,0.4800904977375566,4,source,0.0,tabicl_aware,0.26682257652282715,,68.75701378906892,0.1442658725539181,0.8068181818181818,2.5583614879427854
diabetes,regression,292,10,block_shift,0.3,0.3,4,source,2.0,tabicl_aware,0.26743125915527344,,59.576613123682,0.3915185849802554,0.7933333333333333,2.019004890061896
diabetes,regression,354,10,block_shift,0.5,0.4800904977375566,4,source,0.0,tabicl_aware,0.26726675033569336,,61.318536025523805,0.31940556345775495,0.875,2.288829432987745
openml:531,regression,354,13,none,0.0,0.0,0,random,,tabicl_aware,0.2706887722015381,,3.309840599024452,0.8757721133082577,0.8157894736842105,0.5625640640537586
openml:531,regression,261,13,block,0.3,0.3076923076923077,0,source,1.0,tabicl_aware,0.2662162780761719,,6.5660923017112856,0.4395554361838293,0.689795918367347,1.390415079335523
openml:531,regression,397,13,block,0.5,0.46153846153846156,0,source,4.0,tabicl_aware,0.27263712882995605,,5.51635957805474,0.7154149016374824,0.8165137614678899,1.1350718039784022
openml:531,regression,261,13,block_shift,0.3,0.2680145941015506,0,source,1.0,tabicl_aware,0.26631665229797363,,5.621663169866253,0.5891830675744824,0.6081632653061224,0.9630906410002252
openml:531,regression,397,13,block_shift,0.5,0.44588020674977197,0,source,4.0,tabicl_aware,0.27434492111206055,,7.235209014052264,0.5104363274213397,0.8165137614678899,1.7102033049076601
openml:531,regression,354,13,none,0.0,0.0,1,random,,tabicl_aware,0.27060413360595703,,2.7960282003626427,0.9035333626953211,0.7894736842105263,0.631331848628696
openml:531,regression,332,13,block,0.3,0.3076923076923077,1,source,2.0,tabicl_aware,0.27274250984191895,,5.404008141156421,0.6878266669366624,0.7183908045977011,1.0111963336036864
openml:531,regression,341,13,block,0.5,0.46153846153846156,1,source,2.0,tabicl_aware,0.31199193000793457,,5.037952135396133,0.6772954220911994,0.8545454545454545,1.415493401873505
openml:531,regression,332,13,block_shift,0.3,0.3076923076923077,1,source,2.0,tabicl_aware,0.2737441062927246,,5.690485332226287,0.6538515202178503,0.8045977011494253,1.3918297164053923
openml:531,regression,341,13,block_shift,0.5,0.4107631498935847,1,source,2.0,tabicl_aware,0.27233433723449707,,6.331215075945606,0.4903509882140492,0.8363636363636363,2.1578710065429676
openml:531,regression,354,13,none,0.0,0.0,2,random,,tabicl_aware,0.2741739749908447,,2.8519880931715793,0.8728813690178676,0.75,0.6338424026827431
openml:531,regression,245,13,block,0.3,0.233201581027668,2,source,0.0,tabicl_aware,0.2681717872619629,,4.97843800220194,0.7310671444338419,0.7088122605363985,0.9111967981177552
openml:531,regression,337,13,block,0.5,0.46153846153846156,2,source,0.0,tabicl_aware,0.27007412910461426,,5.265968497338911,0.6758196119873103,0.8757396449704142,1.385542266073553
openml:531,regression,245,13,block_shift,0.3,0.233201581027668,2,source,0.0,tabicl_aware,0.27040767669677734,,7.456424638971676,0.3967200069405947,0.6091954022988506,1.4628123330570917
openml:531,regression,337,13,block_shift,0.5,0.4103070842201277,2,source,0.0,tabicl_aware,0.27534914016723633,,7.717182049050616,0.3037780437722174,0.7041420118343196,1.3035263659760188
openml:531,regression,354,13,none,0.0,0.0,3,random,,tabicl_aware,0.27074527740478516,,2.425644506114613,0.9246647976132528,0.7631578947368421,0.5892537254419018
openml:531,regression,366,13,block,0.3,0.3076923076923077,3,source,1.0,tabicl_aware,0.2733280658721924,,4.443000736734864,0.7683326898429852,0.6928571428571428,0.7783830465914118
openml:531,regression,322,13,block,0.5,0.46153846153846156,3,source,2.0,tabicl_aware,0.27194786071777344,,5.827471735137871,0.5705393681241342,0.7771739130434783,1.0844997947484367
openml:531,regression,366,13,block_shift,0.3,0.3076923076923077,3,source,1.0,tabicl_aware,0.2777276039123535,,5.386602398787631,0.6594806262639841,0.9285714285714286,1.6141125994923742
openml:531,regression,322,13,block_shift,0.5,0.38172696868349043,3,source,2.0,tabicl_aware,0.27109742164611816,,7.732367511860544,0.24388477655017482,0.8043478260869565,1.4686999048924207
openml:531,regression,354,13,none,0.0,0.0,4,random,,tabicl_aware,0.27320361137390137,,2.069538622726599,0.9394901048519151,0.8026315789473685,0.6039298318348045
openml:531,regression,336,13,block,0.3,0.3076923076923077,4,source,1.0,tabicl_aware,0.2691769599914551,,5.708075547320427,0.6234511476991067,0.7294117647058823,1.159963986882631
openml:531,regression,388,13,block,0.5,0.46153846153846156,4,source,4.0,tabicl_aware,0.2751147747039795,,6.838033200154668,0.46003551981004775,0.7372881355932204,1.0787735113542825
openml:531,regression,336,13,block_shift,0.3,0.2818485861964123,4,source,1.0,tabicl_aware,0.3123900890350342,,6.394254151221275,0.527478372035402,0.7176470588235294,1.6892602807121333
openml:531,regression,388,13,block_shift,0.5,0.46153846153846156,4,source,4.0,tabicl_aware,0.2750380039215088,,5.122578486486092,0.6969739083314803,0.864406779661017,1.219272261241388
openml:189,regression,2100,8,none,0.0,0.0,0,random,,tabicl_aware,0.3650681972503662,,0.07440454674497125,0.9192714185932696,0.8277777777777777,0.7527294785944731
openml:189,regression,1464,8,block,0.3,0.25,0,source,1.0,tabicl_aware,0.36980581283569336,,0.2388287898715075,0.14271111978725448,0.6953125,1.9518995271749904
openml:189,regression,2418,8,block,0.5,0.5,0,source,1.0,tabicl_aware,0.318173885345459,,0.2537235426064726,0.09967658169537519,0.7869415807560137,2.4848819050928843
openml:189,regression,1464,8,block_shift,0.3,0.25,0,source,1.0,tabicl_aware,0.29770708084106445,,0.27962949090512285,-0.1752216363411212,0.81640625,2.936909132973405
openml:189,regression,2418,8,block_shift,0.5,0.47533333333333333,0,source,1.0,tabicl_aware,0.3183002471923828,,0.2527379389658362,0.10665771182928863,0.788659793814433,2.461505476494848
openml:189,regression,2100,8,none,0.0,0.0,1,random,,tabicl_aware,0.3092308044433594,,0.07761121974219236,0.9070901126560801,0.8288888888888889,0.771130632321021
openml:189,regression,1997,8,block,0.3,0.25,1,source,1.0,tabicl_aware,0.302490234375,,0.2101480904383479,0.376551367653446,0.6959122632103689,1.6385326757029535
openml:189,regression,1976,8,block,0.5,0.41425,1,source,0.0,tabicl_aware,0.30870819091796875,,0.24041044867226896,0.16501327347262906,0.7724609375,2.2749968505130393
openml:189,regression,1997,8,block_shift,0.3,0.25,1,source,1.0,tabicl_aware,0.3064582347869873,,0.1955848726497959,0.45996699444284006,0.7946161515453639,1.8735459154783634
openml:189,regression,1976,8,block_shift,0.5,0.417875,1,source,0.0,tabicl_aware,0.3009979724884033,,0.2271092661451325,0.2548518943277208,0.70703125,1.9016998976696518
openml:189,regression,2100,8,none,0.0,0.0,2,random,,tabicl_aware,0.3498678207397461,,0.07800971757811741,0.9138797949086849,0.8144444444444444,0.7375993920441068
openml:189,regression,1467,8,block,0.3,0.25,2,source,1.0,tabicl_aware,0.2990682125091553,,0.2542903326647816,0.05775291855832665,0.6249184605348989,1.8264428937670365
openml:189,regression,1995,8,block,0.5,0.416375,2,source,0.0,tabicl_aware,0.30439066886901855,,0.24419745518955224,0.07945077947034218,0.7820895522388059,2.40200612606763
openml:189,regression,1467,8,block_shift,0.3,0.25,2,source,1.0,tabicl_aware,0.29858875274658203,,0.25105122410088715,0.08160441430892895,0.7553816046966731,2.333364752488648
openml:189,regression,1995,8,block_shift,0.5,0.458125,2,source,0.0,tabicl_aware,0.30846452713012695,,0.22134381386371402,0.2436905540317177,0.8338308457711443,2.4697542698069146
openml:189,regression,2100,8,none,0.0,0.0,3,random,,tabicl_aware,0.3089299201965332,,0.07339384415718814,0.9203896213832563,0.8288888888888889,0.7535705649283998
openml:189,regression,2251,8,block,0.3,0.25,3,source,2.0,tabicl_aware,0.3089473247528076,,0.19385867514282906,0.4860031525950632,0.7676902536715621,1.8124528588096063
openml:189,regression,1969,8,block,0.5,0.5,3,source,0.0,tabicl_aware,0.3041512966156006,,0.25927549763236535,-0.01088035376215446,0.7740058195926285,2.5215497442021113
openml:189,regression,2251,8,block_shift,0.3,0.25,3,source,2.0,tabicl_aware,0.3094143867492676,,0.23576128772541635,0.23978757336816636,0.6795727636849133,1.890545604843102
openml:189,regression,1969,8,block_shift,0.5,0.45925,3,source,0.0,tabicl_aware,0.308804988861084,,0.2532717206080976,0.035393454054388096,0.8147429679922406,2.6230346098171675
openml:189,regression,2100,8,none,0.0,0.0,4,random,,tabicl_aware,0.3104417324066162,,0.07753304678503962,0.9144167378892174,0.8188888888888889,0.7542461121753342
openml:189,regression,2002,8,block,0.3,0.25,4,source,0.0,tabicl_aware,0.3071305751800537,,0.17252618647543186,0.5650408703120883,0.8657314629258517,1.957433926000252
openml:189,regression,2428,8,block,0.5,0.5,4,source,4.0,tabicl_aware,0.3176119327545166,,0.24715208308933959,0.08089495381817802,0.8234265734265734,2.6485062636724335
openml:189,regression,2002,8,block_shift,0.3,0.25,4,source,0.0,tabicl_aware,0.3068230152130127,,0.22502661356479092,0.2600435255450537,0.8066132264529058,2.138101317637639
