dataset,task,mechanism,rate,model,rmse,r2,coverage80,width80,rmse_std,r2_std,coverage80_std,width80_std,n_fits
diabetes,regression,block,0.3,tabicl_aware,63.08306536928973,0.3433628825187992,0.7530350590219896,1.9623263706900964,3.317606087126687,0.03662217373506269,0.06042257178598532,0.15493617702666074,5
diabetes,regression,block,0.5,tabicl_aware,64.41825201217354,0.27836847372375234,0.8112421737985842,2.2758266037661423,3.3666371004018045,0.10086650235621686,0.03804039553741304,0.22829447514055462,5
diabetes,regression,block_shift,0.3,tabicl_aware,67.34334360358267,0.2408605056410819,0.7113198492747904,1.9023917210192287,9.833537048004892,0.21528878967379372,0.12232987685543656,0.3541062650332494,5
diabetes,regression,block_shift,0.5,tabicl_aware,65.36486833080878,0.26086906832823314,0.8189065031242768,2.253817490200697,4.014421981660832,0.06931942702996995,0.04915175849385662,0.06911765120161208,5
diabetes,regression,none,0.0,tabicl_aware,56.046448428109684,0.47716041829241956,0.7819548872180451,1.759235726106685,3.3824046138813917,0.039656960090663884,0.05236236194430117,0.11426217017357737,5
openml:189,regression,block,0.3,tabicl_aware,0.2139304149185796,0.3256118857812357,0.7299129880685363,1.8373523762909678,0.03309207943318292,0.218430506362972,0.0911741106160107,0.1302007147425491,5
openml:189,regression,block,0.5,tabicl_aware,0.24895180543799977,0.082831046938874,0.7877848927028043,2.4663881779096197,0.007552246658208163,0.06291798567452207,0.020785595623464107,0.13903911527416582,5
openml:189,regression,block_shift,0.3,tabicl_aware,0.23741069778920262,0.17323617426477358,0.7705179992759712,2.2344933446842314,0.03112063702132678,0.23664234268393458,0.05587813579531334,0.43618746319370116,5
openml:189,regression,block_shift,0.5,tabicl_aware,0.23479670965391303,0.1831020343658248,0.7980837407463328,2.377082706222212,0.016857076275116668,0.1059604607149476,0.05532966485272943,0.27610482296655714,5
openml:189,regression,none,0.0,tabicl_aware,0.07619047500150175,0.9150095370861017,0.8237777777777777,0.753855236012667,0.002129632713730445,0.005278587704199708,0.0066943868139520465,0.011876372892283245,5
openml:42225,regression,block,0.3,tabicl_aware,2469.1380043082927,0.5700093485938217,0.6558993594103862,0.6624296021148489,1164.8423919371296,0.4040611232104994,0.3023384282660493,0.10285252320147512,5
openml:42225,regression,block,0.5,tabicl_aware,1490.6027667653084,0.8500968474385135,0.8943095180599517,0.7439867209000047,241.6062674777283,0.05634047849733541,0.04573884598865921,0.07381124038618664,5
openml:42225,regression,block_shift,0.3,tabicl_aware,2317.2470406701427,0.644941483831538,0.6608286942182525,0.7679284593389416,811.0901040657812,0.2459453290442811,0.21478194357877084,0.1726381020590096,5
