dataset,task,n_train,n_features,mechanism,rate,actual_rate,seed,split,held_out_source,model,seconds,error,rmse,r2,coverage80,width80
diabetes,regression,309,10,none,0.0,0.0,0,random,,tabicl_aware,1.5899877548217773,,55.98236274804898,0.49081936100885415,0.7744360902255639,1.715243971757378
diabetes,regression,309,10,block,0.3,0.3,0,random,,tabicl_aware,0.34741854667663574,,58.74892104970973,0.4392500755648493,0.7894736842105263,1.791766802025451
diabetes,regression,309,10,block,0.5,0.5,0,random,,tabicl_aware,0.290069580078125,,65.78304371370244,0.2969319512644383,0.7518796992481203,1.91866769221442
diabetes,regression,309,10,block_shift,0.3,0.3,0,random,,tabicl_aware,0.2657201290130615,,58.906252704828134,0.4362426383139768,0.7744360902255639,1.8406250908063593
diabetes,regression,309,10,block_shift,0.5,0.5,0,random,,tabicl_aware,0.26490139961242676,,65.10277554370316,0.3113977420619388,0.7669172932330827,1.91569914001201
diabetes,regression,309,10,none,0.0,0.0,1,random,,tabicl_aware,0.30566835403442383,,57.356812963752056,0.4371752268484467,0.7368421052631579,1.7068876746352353
diabetes,regression,309,10,block,0.3,0.266289592760181,1,random,,tabicl_aware,0.26565098762512207,,59.98513747776242,0.38441149920362083,0.7744360902255639,1.8044168769079059
diabetes,regression,309,10,block,0.5,0.40226244343891404,1,random,,tabicl_aware,0.2648894786834717,,61.58270002236418,0.3511853705240612,0.7443609022556391,1.822562684874126
diabetes,regression,309,10,block_shift,0.3,0.26380090497737557,1,random,,tabicl_aware,0.2633190155029297,,58.740065658420036,0.4097010145421043,0.7894736842105263,1.8057277323586052
diabetes,regression,309,10,block_shift,0.5,0.5,1,random,,tabicl_aware,0.264845609664917,,63.4560243743384,0.3111115549886808,0.7744360902255639,1.9512227082795746
diabetes,regression,309,10,none,0.0,0.0,2,random,,tabicl_aware,0.26472902297973633,,57.263090679615175,0.45684104818131854,0.7669172932330827,1.757506536125877
diabetes,regression,309,10,block,0.3,0.252262443438914,2,random,,tabicl_aware,0.2655336856842041,,58.86025858280302,0.42611918861150067,0.8195488721804511,1.840748920038607
diabetes,regression,309,10,block,0.5,0.46289592760181,2,random,,tabicl_aware,0.2652730941772461,,65.3943215823175,0.2916344212434423,0.7669172932330827,2.002253751960485
diabetes,regression,309,10,block_shift,0.3,0.2,2,random,,tabicl_aware,0.26537156105041504,,58.492598126817214,0.43326609279735984,0.8195488721804511,1.8004102216313524
diabetes,regression,309,10,block_shift,0.5,0.43710407239819005,2,random,,tabicl_aware,0.2646827697753906,,63.093924802470816,0.34059465979148174,0.7969924812030075,2.1056633248396412
diabetes,regression,309,10,none,0.0,0.0,3,random,,tabicl_aware,0.26550984382629395,,50.36929987816678,0.5392423065901055,0.8721804511278195,1.9544479743826104
diabetes,regression,309,10,block,0.3,0.3,3,random,,tabicl_aware,0.2655491828918457,,54.78872700316151,0.4548409994893031,0.8421052631578947,2.0428649546183943
diabetes,regression,309,10,block,0.5,0.4276018099547511,3,random,,tabicl_aware,0.2649405002593994,,61.43287812454596,0.31460253820595196,0.849624060150376,2.294158425622753
diabetes,regression,309,10,block_shift,0.3,0.3,3,random,,tabicl_aware,0.2669236660003662,,58.85929429179066,0.37082585398972734,0.8421052631578947,2.0202804048883016
diabetes,regression,309,10,block_shift,0.5,0.4671945701357466,3,random,,tabicl_aware,0.3032798767089844,,61.546704332415004,0.31206030112750927,0.8571428571428571,2.312312019533998
diabetes,regression,309,10,none,0.0,0.0,4,random,,tabicl_aware,0.26522254943847656,,59.26067423194394,0.46172417987406755,0.7593984962406015,1.6620920716152414
diabetes,regression,309,10,block,0.3,0.2660633484162896,4,random,,tabicl_aware,0.2641630172729492,,63.45458128315124,0.38284015674744754,0.7593984962406015,1.8603174769516446
diabetes,regression,309,10,block,0.5,0.4819004524886878,4,random,,tabicl_aware,0.26711416244506836,,70.34441401458992,0.24154306423164507,0.7593984962406015,1.9621299929068428
diabetes,regression,309,10,block_shift,0.3,0.3,4,random,,tabicl_aware,0.26715087890625,,60.534034149923784,0.4383433186243264,0.7744360902255639,1.8219998316332404
diabetes,regression,309,10,block_shift,0.5,0.5,4,random,,tabicl_aware,0.26738905906677246,,68.93446209818057,0.2716427007093877,0.7443609022556391,1.8324288203553436
openml:531,regression,354,13,none,0.0,0.0,0,random,,tabicl_aware,0.26964569091796875,,3.3098406371105678,0.8757721104492936,0.8157894736842105,0.5625640640537586
openml:531,regression,354,13,block,0.3,0.3076923076923077,0,random,,tabicl_aware,0.2733500003814697,,3.9083442042339107,0.8267829855062576,0.8223684210526315,0.8614866310258738
openml:531,regression,354,13,block,0.5,0.46153846153846156,0,random,,tabicl_aware,0.2716331481933594,,4.523447907687719,0.7679700073141085,0.8223684210526315,0.9579605018474086
openml:531,regression,354,13,block_shift,0.3,0.23076923076923078,0,random,,tabicl_aware,0.2695937156677246,,4.5279931061055745,0.7675034816797337,0.8223684210526315,0.9608324854876654
openml:531,regression,354,13,block_shift,0.5,0.46153846153846156,0,random,,tabicl_aware,0.27139806747436523,,3.7545903546178345,0.840143588358557,0.8092105263157895,1.0315267487026962
openml:531,regression,354,13,none,0.0,0.0,1,random,,tabicl_aware,0.26879334449768066,,2.7960282672358003,0.903533358080898,0.7894736842105263,0.631331848628696
openml:531,regression,354,13,block,0.3,0.3076923076923077,1,random,,tabicl_aware,0.27324724197387695,,4.064945460631478,0.7961064481985015,0.7763157894736842,0.900177201805546
openml:531,regression,354,13,block,0.5,0.4350866524779568,1,random,,tabicl_aware,0.3132660388946533,,5.8148255218185625,0.5827777881806193,0.6907894736842105,0.8700151759233838
openml:531,regression,354,13,block_shift,0.3,0.28412891456369715,1,random,,tabicl_aware,0.2747223377227783,,4.3443917351353685,0.7671093769014143,0.7828947368421053,0.9957644572261156
openml:531,regression,354,13,block_shift,0.5,0.4350866524779568,1,random,,tabicl_aware,0.27275633811950684,,4.999486131372648,0.6915784033040617,0.6644736842105263,0.8795234331438083
openml:531,regression,354,13,none,0.0,0.0,2,random,,tabicl_aware,0.27474021911621094,,2.8519881524340667,0.8728813637349799,0.75,0.6338424026827431
openml:531,regression,354,13,block,0.3,0.233201581027668,2,random,,tabicl_aware,0.2733933925628662,,3.276513999523486,0.8322209052758867,0.8421052631578947,0.8593344253180204
openml:531,regression,354,13,block,0.5,0.43402249923989056,2,random,,tabicl_aware,0.2739720344543457,,4.71783526584432,0.6521441304739721,0.743421052631579,1.24849468743162
openml:531,regression,354,13,block_shift,0.3,0.3076923076923077,2,random,,tabicl_aware,0.27233076095581055,,5.278542383716533,0.564546468445551,0.7894736842105263,1.316809222979617
openml:531,regression,354,13,block_shift,0.5,0.4378230465186987,2,random,,tabicl_aware,0.27326440811157227,,5.828828327769203,0.469022253418947,0.8026315789473685,1.377773473981303
openml:531,regression,354,13,none,0.0,0.0,3,random,,tabicl_aware,0.27008652687072754,,2.425644384091335,0.9246648051928039,0.7631578947368421,0.5892537254419018
openml:531,regression,354,13,block,0.3,0.3076923076923077,3,random,,tabicl_aware,0.2727961540222168,,3.890654166175872,0.8061843188328097,0.7960526315789473,0.947657924318875
openml:531,regression,354,13,block,0.5,0.46153846153846156,3,random,,tabicl_aware,0.27059102058410645,,4.272159555241039,0.7663108318203532,0.743421052631579,0.9955148695306467
openml:531,regression,354,13,block_shift,0.3,0.3076923076923077,3,random,,tabicl_aware,0.2728760242462158,,4.074674766760431,0.7874164995471361,0.8157894736842105,1.0916677481658563
openml:531,regression,354,13,block_shift,0.5,0.43645484949832775,3,random,,tabicl_aware,0.27102184295654297,,4.957459857593164,0.6853251261487594,0.7697368421052632,1.3857171169303837
openml:531,regression,354,13,none,0.0,0.0,4,random,,tabicl_aware,0.27030420303344727,,2.0695387007738923,0.9394901002879668,0.8026315789473685,0.6039298318348045
openml:531,regression,354,13,block,0.3,0.2818485861964123,4,random,,tabicl_aware,0.27091407775878906,,3.085713003721289,0.8654789061353168,0.8026315789473685,0.8886297130198022
openml:531,regression,354,13,block,0.5,0.46153846153846156,4,random,,tabicl_aware,0.27297234535217285,,4.520585423970102,0.7112854377475359,0.8026315789473685,1.2042124743562845
openml:531,regression,354,13,block_shift,0.3,0.3076923076923077,4,random,,tabicl_aware,0.31488609313964844,,3.723693417379757,0.8041032807322243,0.8223684210526315,1.00062982420661
openml:531,regression,354,13,block_shift,0.5,0.46153846153846156,4,random,,tabicl_aware,0.27284765243530273,,3.9017342108140545,0.7849226425338323,0.7960526315789473,0.9985142843727461
openml:189,regression,2100,8,none,0.0,0.0,0,random,,tabicl_aware,0.3634624481201172,,0.07440454838248038,0.9192714150398902,0.8277777777777777,0.7527294785944731
openml:189,regression,2100,8,block,0.3,0.186,0,random,,tabicl_aware,0.3773627281188965,,0.191747255440346,0.4638495399307133,0.7944444444444444,1.8123540919382222
openml:189,regression,2100,8,block,0.5,0.5,0,random,,tabicl_aware,0.31052398681640625,,0.2255270712508979,0.25830435270601126,0.7877777777777778,2.187505604791015
openml:189,regression,2100,8,block_shift,0.3,0.189,0,random,,tabicl_aware,0.3019554615020752,,0.1882870419034474,0.48302536519263317,0.7944444444444444,1.823217194400724
openml:189,regression,2100,8,block_shift,0.5,0.5,0,random,,tabicl_aware,0.30968713760375977,,0.2294155825588629,0.2325074008575907,0.8044444444444444,2.3182242814764944
openml:189,regression,2100,8,none,0.0,0.0,1,random,,tabicl_aware,0.3067300319671631,,0.07761121887059055,0.9070901147429028,0.8288888888888889,0.7711306908440195
openml:189,regression,2100,8,block,0.3,0.25,1,random,,tabicl_aware,0.3042623996734619,,0.19177083525572342,0.43274538827172426,0.8033333333333333,1.928708288299858
openml:189,regression,2100,8,block,0.5,0.457125,1,random,,tabicl_aware,0.31159472465515137,,0.21220674038316703,0.30540562091447965,0.8433333333333334,2.282192350027338
openml:189,regression,2100,8,block_shift,0.3,0.25,1,random,,tabicl_aware,0.30433225631713867,,0.17669323345807422,0.5184373980079635,0.8266666666666667,1.7678081990722965
openml:189,regression,2100,8,block_shift,0.5,0.4573333333333333,1,random,,tabicl_aware,0.3112308979034424,,0.21381737950423438,0.2948217301918723,0.8066666666666666,2.1861062476865465
openml:189,regression,2100,8,none,0.0,0.0,2,random,,tabicl_aware,0.3484518527984619,,0.0780097159750747,0.9138797984480994,0.8144444444444444,0.7375993920441068
openml:189,regression,2100,8,block,0.3,0.188875,2,random,,tabicl_aware,0.3046152591705322,,0.15775038216160572,0.6478331406882394,0.7966666666666666,1.402170513301827
openml:189,regression,2100,8,block,0.5,0.5,2,random,,tabicl_aware,0.31199193000793457,,0.233071965165121,0.231245413010993,0.8088888888888889,2.2629068457158157
openml:189,regression,2100,8,block_shift,0.3,0.25,2,random,,tabicl_aware,0.30433177947998047,,0.18603287032145086,0.5102358209858935,0.7755555555555556,1.6892200366269496
openml:189,regression,2100,8,block_shift,0.5,0.458625,2,random,,tabicl_aware,0.31244373321533203,,0.21903250493243903,0.3210703365679882,0.8022222222222222,2.122573645864124
openml:189,regression,2100,8,none,0.0,0.0,3,random,,tabicl_aware,0.3071291446685791,,0.07339384315639438,0.9203896235543804,0.8288888888888889,0.7535706794995618
openml:189,regression,2100,8,block,0.3,0.25,3,random,,tabicl_aware,0.30614209175109863,,0.16774195292333674,0.5841527742511465,0.8233333333333334,1.6715227919248687
openml:189,regression,2100,8,block,0.5,0.45925,3,random,,tabicl_aware,0.3129734992980957,,0.2329231866761152,0.19818188288905048,0.8188888888888889,2.3708927762595238
openml:189,regression,2100,8,block_shift,0.3,0.25,3,random,,tabicl_aware,0.30733609199523926,,0.1917271008490114,0.45672786635370766,0.8311111111111111,1.9344557032432643
openml:189,regression,2100,8,block_shift,0.5,0.4570416666666667,3,random,,tabicl_aware,0.31269311904907227,,0.21595771783224102,0.31073237944253074,0.7955555555555556,2.105457974477119
openml:189,regression,2100,8,none,0.0,0.0,4,random,,tabicl_aware,0.307417631149292,,0.07753304707699515,0.9144167372446792,0.8188888888888889,0.7542461121753342
openml:189,regression,2100,8,block,0.3,0.25,4,random,,tabicl_aware,0.3054687976837158,,0.19579172010043305,0.45423739049837963,0.8011111111111111,1.8860475083504114
openml:189,regression,2100,8,block,0.5,0.5,4,random,,tabicl_aware,0.31351470947265625,,0.22683647321553538,0.26744386858220337,0.7877777777777778,2.1823072863304733
openml:189,regression,2100,8,block_shift,0.3,0.25,4,random,,tabicl_aware,0.30629467964172363,,0.2085717631976032,0.38066423511878356,0.7744444444444445,1.9410652440589522
openml:189,regression,2100,8,block_shift,0.5,0.5,4,random,,tabicl_aware,0.3135092258453369,,0.22701578084155336,0.26628528227279646,0.7844444444444445,2.154513583796193
openml:42225,regression,2100,9,none,0.0,0.0,0,random,,tabicl_aware,0.31189417839050293,,673.6824403617263,0.9699106187783666,0.8411111111111111,0.23888297135291714
openml:42225,regression,2100,9,block,0.3,0.27644444444444444,0,random,,tabicl_aware,0.35262036323547363,,766.933259210652,0.9610041900062944,0.8388888888888889,0.2553725205877977
openml:42225,regression,2100,9,block,0.5,0.42188888888888887,0,random,,tabicl_aware,0.31807565689086914,,1271.2426534465953,0.8928580086648039,0.8144444444444444,0.49219530015699686
openml:42225,regression,2100,9,block_shift,0.3,0.27644444444444444,0,random,,tabicl_aware,0.310636043548584,,1225.1403831167704,0.9004882159684968,0.8122222222222222,0.4464662780289456
