dataset,task,mechanism,rate,model,rmse,r2,coverage80,width80,rmse_std,r2_std,coverage80_std,width80_std,n_fits
diabetes,regression,block,0.3,tabicl_aware,59.16752507931758,0.4174923839233443,0.7969924812030075,1.8680230061084004,3.1020499493944227,0.03254942308043948,0.03362508236841786,0.10153042184772752,5
diabetes,regression,block,0.5,tabicl_aware,64.907471491504,0.29917946909390775,0.7744360902255639,1.9999545095157252,3.663703662766186,0.039769394932862565,0.042863737785681866,0.17752980801958168,5
diabetes,regression,block_shift,0.3,tabicl_aware,59.106448986355964,0.4176757836534989,0.8,1.8578086562635718,0.813973742538429,0.02860701699249346,0.029886626938874852,0.09217051979541724,5
diabetes,regression,block_shift,0.5,tabicl_aware,64.42677823022159,0.3093613917357997,0.7879699248120301,2.0234652026041138,2.8191254489068904,0.024559675242921988,0.04299542392630312,0.1894178031001226,5
diabetes,regression,none,0.0,tabicl_aware,56.04644810030538,0.47716042450055846,0.7819548872180451,1.7592356457032685,3.382404608224699,0.03965695829160464,0.05236236194430117,0.11426208308800345,5
openml:189,regression,block,0.3,tabicl_aware,0.180960429176289,0.5165636467280407,0.8037777777777778,1.7401606387630373,0.017077924989613715,0.09419236954976312,0.011482676162456724,0.2127166944982725,5
openml:189,regression,block,0.5,tabicl_aware,0.2261130873381673,0.2521162276205476,0.8093333333333333,2.2571609726248334,0.008500832624192553,0.0401792650232695,0.02332804172801905,0.07753942979246616,5
openml:189,regression,block_shift,0.3,tabicl_aware,0.19026240194591743,0.4698181371317963,0.8004444444444445,1.8311532754804376,0.011654305758309716,0.05543380286998866,0.027200671741886763,0.10836588115961218,5
openml:189,regression,block_shift,0.5,tabicl_aware,0.22104779313386613,0.28508342586655566,0.7986666666666666,2.1773751466600952,0.006853574095075927,0.035935253376116555,0.008971835216971657,0.0845763650562749,5
openml:189,regression,none,0.0,tabicl_aware,0.07619047469230703,0.9150095378059904,0.8237777777777777,0.7538552706314992,0.0021296322572789423,0.0052785865861820595,0.0066943868139520465,0.011876393487740632,5
openml:42225,regression,block,0.3,tabicl_aware,970.1264749287113,0.9375587458984311,0.8102222222222222,0.36363441673491004,189.08568699147236,0.023364544401848323,0.026450512842469267,0.07861963218717527,5
openml:42225,regression,block,0.5,tabicl_aware,1224.2553104419524,0.9030602242537661,0.8086666666666666,0.48798983869416157,84.0718607064954,0.012086298662520246,0.013365701452173851,0.04606496787727573,5
openml:42225,regression,block_shift,0.3,tabicl_aware,1156.4911072223272,0.9116188069598834,0.8071111111111111,0.4793920944860569,219.56161133786202,0.03095624354625865,0.009013022129188109,0.0600712727947004,5
openml:42225,regression,block_shift,0.5,tabicl_aware,1117.5733137189204,0.9182567815486677,0.8095555555555556,0.4880975954190781,154.52266874048718,0.021765093646539845,0.011930870840485396,0.04284603324215762,5
openml:42225,regression,none,0.0,tabicl_aware,613.358730206901,0.975480803227898,0.8235555555555555,0.23414759534842572,74.79024845883741,0.005716262723603537,0.018008914116468024,0.011491574599497815,5
openml:44970,regression,block,0.3,tabicl_aware,0.9992452643792233,0.5281889445077794,0.7816849816849817,1.5218883226523368,0.07152457311997697,0.07661564929151705,0.017297756707864622,0.11184095644100542,5
openml:44970,regression,block,0.5,tabicl_aware,1.0939552757768778,0.43752151623887786,0.7970695970695971,1.7541572075533367,0.05042286174602966,0.04729205921752598,0.011170659840276122,0.09148406886940154,5
openml:44970,regression,block_shift,0.3,tabicl_aware,1.0300431627786213,0.5005434314791113,0.7897435897435898,1.6288589714737978,0.0315060420231736,0.045417246137386395,0.020493187883808637,0.07524647286930561,5
openml:44970,regression,block_shift,0.5,tabicl_aware,1.1015565780238512,0.4280683418691923,0.7904761904761906,1.7207818975238307,0.05827745111709708,0.07163501605210497,0.03176481082590302,0.07358315811605372,5
openml:44970,regression,none,0.0,tabicl_aware,0.8329174892604323,0.6739729484444772,0.810989010989011,1.2484954441118261,0.01748804287753528,0.019120864454989436,0.018241611132584205,0.03215457231042607,5
openml:507,regression,block,0.3,tabicl_aware,0.13245108119995427,0.5988626724785346,0.776,1.248961865910574,0.006231779416741376,0.04936426519833377,0.005752079602464399,0.1751515217503078,5
openml:507,regression,block,0.5,tabicl_aware,0.15537432611565075,0.4527336601156657,0.7882222222222223,1.5167831224126125,0.013375741951608887,0.03886628474086481,0.016547723725450204,0.10276573251331972,5
openml:507,regression,block_shift,0.3,tabicl_aware,0.15941528575952466,0.42279158223586266,0.7753333333333333,1.5440157514264605,0.012506940114676639,0.04683276366116976,0.024912191472261497,0.1667906565103163,5
openml:507,regression,block_shift,0.5,tabicl_aware,0.16885335746000268,0.35131601903853504,0.772888888888889,1.7173531334245944,0.008431619683265664,0.03726710153029201,0.01764883796405532,0.23143351352308691,5
openml:507,regression,none,0.0,tabicl_aware,0.10545553083639018,0.7481628095714757,0.7755555555555556,0.9565015837550481,0.011315970442856024,0.026657770268149358,0.014444444444444463,0.06924590070630357,5
openml:531,regression,block,0.3,tabicl_aware,3.6452341668572075,0.8253547127897545,0.8078947368421053,0.8914571790976235,0.43434834285144736,0.02684259879326978,0.025224065148264214,0.035960611041728666,5
openml:531,regression,block,0.5,tabicl_aware,4.769770734912348,0.6960976391073178,0.7605263157894737,1.0552395418178686,0.6052317616248544,0.0792141062333233,0.05254927775714699,0.1634616161012212,5
openml:531,regression,block_shift,0.3,tabicl_aware,4.389859081819533,0.7381358214612119,0.8065789473684211,1.073140747613173,0.5818127156328472,0.09825411031762736,0.01895376354064198,0.144547263642271,5
openml:531,regression,block_shift,0.5,tabicl_aware,4.68841977643338,0.6941984027528314,0.7684210526315789,1.1346110114261874,0.8603179753160582,0.14170460697254164,0.060009232899954655,0.23259439822748637,5
openml:531,regression,none,0.0,tabicl_aware,2.6906080283291325,0.9032683475491885,0.7842105263157895,0.6041843745283808,0.46811826427816733,0.029365395628718982,0.027284791254378563,0.02988236646486775,5
