dataset,task,n_train,n_features,mechanism,rate,actual_rate,seed,split,held_out_source,model,seconds,error,rmse,r2,coverage80,width80
diabetes,regression,309,10,none,0.0,0.0,0,random,,tabicl_aware,1.7535250186920166,,56.01812796501936,0.4901685569943428,0.7744360902255639,1.730542041732662
diabetes,regression,212,10,block,0.3,0.24796380090497738,0,source,0.0,tabicl_aware,0.352614164352417,,66.39779423286198,0.3070699850969658,0.6956521739130435,1.8467302491979507
diabetes,regression,355,10,block,0.5,0.5,0,source,1.0,tabicl_aware,0.27979207038879395,,62.957876448067246,0.2796418750543632,0.8620689655172413,2.307595189026338
diabetes,regression,212,10,block_shift,0.3,0.24796380090497738,0,source,0.0,tabicl_aware,0.28748106956481934,,83.46027194299454,-0.094817322367444,0.5043478260869565,1.326677124450863
diabetes,regression,355,10,block_shift,0.5,0.5,0,source,1.0,tabicl_aware,0.28388047218322754,,61.45915344045035,0.31353015460432776,0.8275862068965517,2.1429793807343342
diabetes,regression,309,10,none,0.0,0.0,1,random,,tabicl_aware,0.3114039897918701,,57.276869090492156,0.4387430627667155,0.7443609022556391,1.7376011695275424
diabetes,regression,309,10,block,0.3,0.3,1,source,1.0,tabicl_aware,0.2719690799713135,,60.01651980281108,0.33629833770261885,0.8345864661654135,2.1653951162131744
diabetes,regression,286,10,block,0.5,0.4339366515837104,1,source,0.0,tabicl_aware,0.2757999897003174,,67.6802550109301,0.20363226074673502,0.7564102564102564,2.3934732176410214
diabetes,regression,309,10,block_shift,0.3,0.3,1,source,1.0,tabicl_aware,0.2732698917388916,,63.728792613165574,0.2516536065717425,0.7518796992481203,2.0720202014653215
diabetes,regression,286,10,block_shift,0.5,0.4669683257918552,1,source,0.0,tabicl_aware,0.2711069583892822,,69.49147408540176,0.16043807594730797,0.75,2.3569985656638464
diabetes,regression,309,10,none,0.0,0.0,2,random,,tabicl_aware,0.27260422706604004,,57.084060401402574,0.46023205925194177,0.7669172932330827,1.7791898188369069
