dataset,task,n_train,n_features,mechanism,rate,actual_rate,seed,split,held_out_source,model,seconds,error,rmse,r2,coverage80,width80
diabetes,regression,309,10,none,0.0,0.0,0,random,,tabicl_aware,1.7172129154205322,,56.01812796501936,0.4901685569943428,0.7744360902255639,1.730542041732662
diabetes,regression,309,10,block,0.3,0.3,0,random,,tabicl_aware,0.3668339252471924,,58.937766739527596,0.43563927209742115,0.7819548872180451,1.7978791449505074
diabetes,regression,309,10,block,0.5,0.5,0,random,,tabicl_aware,0.273639440536499,,65.71302218616144,0.2984278898844428,0.7443609022556391,1.932019661597598
diabetes,regression,309,10,block_shift,0.3,0.3,0,random,,tabicl_aware,0.27103495597839355,,58.95786630462058,0.4352542782289205,0.7744360902255639,1.851037487498243
diabetes,regression,309,10,block_shift,0.5,0.5,0,random,,tabicl_aware,0.2638671398162842,,65.07693347815838,0.311944304716369,0.7819548872180451,1.9357056998168256
diabetes,regression,309,10,none,0.0,0.0,1,random,,tabicl_aware,0.2968130111694336,,57.276869090492156,0.4387430627667155,0.7443609022556391,1.7376011695275424
diabetes,regression,309,10,block,0.3,0.266289592760181,1,random,,tabicl_aware,0.2544891834259033,,59.50204219096888,0.3942869582490939,0.7669172932330827,1.8269299411122812
diabetes,regression,309,10,block,0.5,0.40226244343891404,1,random,,tabicl_aware,0.27419543266296387,,61.33493374242535,0.3563956326498561,0.7518796992481203,1.8248662618552425
diabetes,regression,309,10,block_shift,0.3,0.26380090497737557,1,random,,tabicl_aware,0.269467830657959,,58.68051262922346,0.41089734525807653,0.7969924812030075,1.8355754399571953
diabetes,regression,309,10,block_shift,0.5,0.5,1,random,,tabicl_aware,0.27120018005371094,,63.24403054326949,0.31570674218340156,0.7894736842105263,1.9729194815592606
diabetes,regression,309,10,none,0.0,0.0,2,random,,tabicl_aware,0.26892805099487305,,57.084060401402574,0.46023205925194177,0.7669172932330827,1.7791898188369069
diabetes,regression,309,10,block,0.3,0.252262443438914,2,random,,tabicl_aware,0.2792537212371826,,58.56522731158168,0.43185781285534597,0.8195488721804511,1.8552156358023646
diabetes,regression,309,10,block,0.5,0.46289592760181,2,random,,tabicl_aware,0.2741124629974365,,65.39548099823979,0.29160930292761567,0.7744360902255639,2.019182156207222
