dataset,task,n_train,n_features,mechanism,rate,actual_rate,seed,split,held_out_source,model,seconds,error,rmse,r2,coverage80,width80
diabetes,regression,309,10,none,0.0,0.0,0,random,,tabicl_aware,1.737234354019165,,56.028051958606056,0.4899879007559913,0.7518796992481203,1.7146270388093308
diabetes,regression,212,10,block,0.3,0.24796380090497738,0,source,0.0,tabicl_aware,0.34308719635009766,,66.2342985890916,0.31047827774294345,0.691304347826087,1.8522859343424167
diabetes,regression,355,10,block,0.5,0.5,0,source,1.0,tabicl_aware,0.2643158435821533,,62.941018504688714,0.28002759742393746,0.8620689655172413,2.318368561606856
diabetes,regression,212,10,block_shift,0.3,0.24796380090497738,0,source,0.0,tabicl_aware,0.2583339214324951,,83.0529955521059,-0.08415823190764504,0.5043478260869565,1.3361087043929334
diabetes,regression,355,10,block_shift,0.5,0.5,0,source,1.0,tabicl_aware,0.26232099533081055,,61.645977615558,0.30935033493605735,0.8275862068965517,2.1477509071005474
diabetes,regression,309,10,none,0.0,0.0,1,random,,tabicl_aware,0.2956836223602295,,57.240723283155745,0.4394512259096919,0.7368421052631579,1.7094962131158444
diabetes,regression,309,10,block,0.3,0.3,1,source,1.0,tabicl_aware,0.25905609130859375,,59.61429374859869,0.34516468101762077,0.849624060150376,2.160065750788501
diabetes,regression,286,10,block,0.5,0.4339366515837104,1,source,0.0,tabicl_aware,0.26110053062438965,,67.49492520394001,0.20798769955394902,0.7564102564102564,2.4117752274838025
diabetes,regression,309,10,block_shift,0.3,0.3,1,source,1.0,tabicl_aware,0.260617733001709,,63.22840843454068,0.26335916663127734,0.7669172932330827,2.076746000203345
diabetes,regression,286,10,block_shift,0.5,0.4669683257918552,1,source,0.0,tabicl_aware,0.2600290775299072,,69.62587230748495,0.157187468736817,0.7564102564102564,2.325741878720943
diabetes,regression,309,10,none,0.0,0.0,2,random,,tabicl_aware,0.26040148735046387,,57.392887659884735,0.45437592477447497,0.7593984962406015,1.765526711311869
diabetes,regression,211,10,block,0.3,0.20452488687782805,2,source,0.0,tabicl_aware,0.2551608085632324,,60.065662001519904,0.4041138674889716,0.7402597402597403,1.805804763855397
diabetes,regression,293,10,block,0.5,0.4291855203619909,2,source,0.0,tabicl_aware,0.26123809814453125,,62.070669734303095,0.3784763472041618,0.7986577181208053,1.9409489632546495
diabetes,regression,211,10,block_shift,0.3,0.252262443438914,2,source,0.0,tabicl_aware,0.2592198848724365,,67.67894503242084,0.24348437291230196,0.7532467532467533,2.2299004836024428
diabetes,regression,293,10,block_shift,0.5,0.466289592760181,2,source,0.0,tabicl_aware,0.26114678382873535,,68.65747245944816,0.2395679360120586,0.7986577181208053,2.249251982420723
diabetes,regression,309,10,none,0.0,0.0,3,random,,tabicl_aware,0.2749648094177246,,50.57791186017287,0.5354178094193094,0.8721804511278195,1.9505245180514608
diabetes,regression,345,10,block,0.3,0.3,3,source,2.0,tabicl_aware,0.26810741424560547,,67.05930263800641,0.3261076462449317,0.7216494845360825,1.9798941249346864
diabetes,regression,282,10,block,0.5,0.5,3,source,2.0,tabicl_aware,0.2606618404388428,,61.28573633857376,0.3704142945402066,0.8375,2.1883656585972027
diabetes,regression,345,10,block_shift,0.3,0.3,3,source,2.0,tabicl_aware,0.3063695430755615,,62.89247354611413,0.4072523857847138,0.7938144329896907,1.9284832225413937
diabetes,regression,282,10,block_shift,0.5,0.4690045248868778,3,source,2.0,tabicl_aware,0.26384449005126953,,66.03954708491185,0.2689548263239504,0.825,2.2730035671546025
diabetes,regression,309,10,none,0.0,0.0,4,random,,tabicl_aware,0.26484060287475586,,59.32912076857783,0.4604800363282576,0.7518796992481203,1.6782478797611495
diabetes,regression,292,10,block,0.3,0.3,4,source,2.0,tabicl_aware,0.26645994186401367,,62.92029893897512,0.32130093328151066,0.76,2.06030412540515
diabetes,regression,354,10,block,0.5,0.4800904977375566,4,source,0.0,tabicl_aware,0.26584935188293457,,68.13198510828124,0.15975308776198116,0.8068181818181818,2.520042463502064
diabetes,regression,292,10,block_shift,0.3,0.3,4,source,2.0,tabicl_aware,0.26868343353271484,,59.60651951043183,0.390907538229625,0.7933333333333333,2.0300731075100678
diabetes,regression,354,10,block_shift,0.5,0.4800904977375566,4,source,0.0,tabicl_aware,0.2647104263305664,,60.89480032537145,0.3287794241503207,0.8863636363636364,2.25618694369623
openml:531,regression,354,13,none,0.0,0.0,0,random,,tabicl_aware,0.26767706871032715,,3.2914921001220643,0.8771456399926713,0.8223684210526315,0.562570715925344
openml:531,regression,261,13,block,0.3,0.3076923076923077,0,source,1.0,tabicl_aware,0.2628669738769531,,6.506564816641322,0.4496712330342283,0.7142857142857143,1.4151686887874235
openml:531,regression,397,13,block,0.5,0.46153846153846156,0,source,4.0,tabicl_aware,0.27105021476745605,,5.522392338294553,0.714792109588709,0.8165137614678899,1.1440173616899896
openml:531,regression,261,13,block_shift,0.3,0.2680145941015506,0,source,1.0,tabicl_aware,0.2671396732330322,,5.542125630303632,0.6007256360087518,0.636734693877551,1.01657899221098
openml:531,regression,397,13,block_shift,0.5,0.44588020674977197,0,source,4.0,tabicl_aware,0.2733762264251709,,7.281776056426146,0.5041142165744376,0.8165137614678899,1.695637122952032
openml:531,regression,354,13,none,0.0,0.0,1,random,,tabicl_aware,0.2687830924987793,,2.7766950994130175,0.9048627852529679,0.8092105263157895,0.6400233326337821
openml:531,regression,332,13,block,0.3,0.3076923076923077,1,source,2.0,tabicl_aware,0.30890774726867676,,5.345871701678251,0.6945072728292574,0.7586206896551724,1.053909662811993
openml:531,regression,341,13,block,0.5,0.46153846153846156,1,source,2.0,tabicl_aware,0.2658100128173828,,5.010986670617154,0.6807407071765614,0.8606060606060606,1.41195938161456
openml:531,regression,332,13,block_shift,0.3,0.3076923076923077,1,source,2.0,tabicl_aware,0.27053260803222656,,5.476484483049433,0.6793970345416559,0.8390804597701149,1.476009661845319
openml:531,regression,341,13,block_shift,0.5,0.4107631498935847,1,source,2.0,tabicl_aware,0.2691211700439453,,6.305856960572648,0.49442535841555013,0.8363636363636363,2.185885730551606
openml:531,regression,354,13,none,0.0,0.0,2,random,,tabicl_aware,0.2673654556274414,,2.856282344786097,0.8724982746044007,0.7302631578947368,0.6452934526098184
openml:531,regression,245,13,block,0.3,0.233201581027668,2,source,0.0,tabicl_aware,0.2646491527557373,,4.8924274743680725,0.7402793687234694,0.735632183908046,0.9444018550418877
openml:531,regression,337,13,block,0.5,0.46153846153846156,2,source,0.0,tabicl_aware,0.26688122749328613,,5.124624089201546,0.6929887769153358,0.893491124260355,1.4442015325554713
openml:531,regression,245,13,block_shift,0.3,0.233201581027668,2,source,0.0,tabicl_aware,0.26592016220092773,,7.399789943630465,0.40584953629566967,0.6168582375478927,1.4779452591233464
openml:531,regression,337,13,block_shift,0.5,0.4103070842201277,2,source,0.0,tabicl_aware,0.26946187019348145,,7.673395809803421,0.3116561674838382,0.7396449704142012,1.3542221828957288
openml:531,regression,354,13,none,0.0,0.0,3,random,,tabicl_aware,0.2662813663482666,,2.4758657382411444,0.9215129810576486,0.7828947368421053,0.5993372350241047
openml:531,regression,366,13,block,0.3,0.3076923076923077,3,source,1.0,tabicl_aware,0.26850199699401855,,4.406503686051469,0.7721231218180027,0.7071428571428572,0.7614471099661835
openml:531,regression,322,13,block,0.5,0.46153846153846156,3,source,2.0,tabicl_aware,0.2675485610961914,,5.706789523056567,0.5881427476987524,0.7771739130434783,1.1006113794048573
openml:531,regression,366,13,block_shift,0.3,0.3076923076923077,3,source,1.0,tabicl_aware,0.27097105979919434,,5.389593931213464,0.6591022959024475,0.9142857142857143,1.6699126095636796
openml:531,regression,322,13,block_shift,0.5,0.38172696868349043,3,source,2.0,tabicl_aware,0.2671847343444824,,7.756196384733484,0.23921734820534912,0.8097826086956522,1.4507598811305797
openml:531,regression,354,13,none,0.0,0.0,4,random,,tabicl_aware,0.2676730155944824,,2.0783617156343883,0.9389730596715813,0.7763157894736842,0.602258642649215
openml:531,regression,336,13,block,0.3,0.3076923076923077,4,source,1.0,tabicl_aware,0.30869293212890625,,5.504669446882899,0.649809473549193,0.7470588235294118,1.2189772145630493
openml:531,regression,388,13,block,0.5,0.46153846153846156,4,source,4.0,tabicl_aware,0.2707507610321045,,6.802236012176485,0.46567416329376854,0.7457627118644068,1.0984383433707683
openml:531,regression,336,13,block_shift,0.3,0.2818485861964123,4,source,1.0,tabicl_aware,0.2676222324371338,,6.116699261882298,0.5676094839052246,0.7176470588235294,1.66344110934162
openml:531,regression,388,13,block_shift,0.5,0.46153846153846156,4,source,4.0,tabicl_aware,0.2715272903442383,,5.214215837880627,0.6860353223408553,0.8559322033898306,1.242788093824276
openml:189,regression,2100,8,none,0.0,0.0,0,random,,tabicl_aware,0.3617386817932129,,0.07394474225303978,0.9202661069835392,0.82,0.7376729179065931
openml:189,regression,1464,8,block,0.3,0.25,0,source,1.0,tabicl_aware,0.36772584915161133,,0.23842233027462295,0.14562665420669585,0.6868489583333334,1.9199409782583245
openml:189,regression,2418,8,block,0.5,0.5,0,source,1.0,tabicl_aware,0.31038808822631836,,0.2539289548466368,0.09821820451718588,0.7869415807560137,2.491651511246313
openml:189,regression,1464,8,block_shift,0.3,0.25,0,source,1.0,tabicl_aware,0.28864288330078125,,0.2788274572197632,-0.16848975980978453,0.8111979166666666,2.9062481978485475
openml:189,regression,2418,8,block_shift,0.5,0.47533333333333333,0,source,1.0,tabicl_aware,0.3102400302886963,,0.25305214632062434,0.104435099741504,0.7955326460481099,2.4737308903602067
openml:189,regression,2100,8,none,0.0,0.0,1,random,,tabicl_aware,0.30148911476135254,,0.07762992849036866,0.9070453140509974,0.8111111111111111,0.7574778604944611
openml:189,regression,1997,8,block,0.3,0.25,1,source,1.0,tabicl_aware,0.2963368892669678,,0.2104921510933592,0.37450823948967216,0.6919242273180458,1.6299250796107745
openml:189,regression,1976,8,block,0.5,0.41425,1,source,0.0,tabicl_aware,0.30206775665283203,,0.2399374788922267,0.16829545206020657,0.783203125,2.309388923107328
openml:189,regression,1997,8,block_shift,0.3,0.25,1,source,1.0,tabicl_aware,0.2993612289428711,,0.19818857963451955,0.44549300265710023,0.7886340977068793,1.874365243962902
openml:189,regression,1976,8,block_shift,0.5,0.417875,1,source,0.0,tabicl_aware,0.294478178024292,,0.22916413524691903,0.24130679457133153,0.7041015625,1.9120553308592436
openml:189,regression,2100,8,none,0.0,0.0,2,random,,tabicl_aware,0.3037559986114502,,0.07741463795825891,0.915188680829963,0.81,0.719691554699345
openml:189,regression,1467,8,block,0.3,0.25,2,source,1.0,tabicl_aware,0.2912135124206543,,0.25488192113368824,0.053363676510399416,0.6190476190476191,1.7891181378687544
openml:189,regression,1995,8,block,0.5,0.416375,2,source,0.0,tabicl_aware,0.3331108093261719,,0.24413914310730514,0.07989036417263429,0.7810945273631841,2.407566424095574
openml:189,regression,1467,8,block_shift,0.3,0.25,2,source,1.0,tabicl_aware,0.2908976078033447,,0.25135391447982774,0.07938847536126148,0.7586431833007176,2.3535454739906334
openml:189,regression,1995,8,block_shift,0.5,0.458125,2,source,0.0,tabicl_aware,0.2980844974517822,,0.2212330639919965,0.244447206929422,0.835820895522388,2.4907327265033383
openml:189,regression,2100,8,none,0.0,0.0,3,random,,tabicl_aware,0.30315661430358887,,0.0734116220619823,0.9203510492888273,0.83,0.741357221776472
openml:189,regression,2251,8,block,0.3,0.25,3,source,2.0,tabicl_aware,0.3020029067993164,,0.1932219944273754,0.4893737986753217,0.7716955941255007,1.8101729282699222
