dataset,task,n_train,n_features,mechanism,rate,actual_rate,seed,split,held_out_source,model,seconds,error,rmse,r2,coverage80,width80
diabetes,regression,309,10,none,0.0,0.0,0,random,,tabicl_aware,1.73294997215271,,56.028051958606056,0.4899879007559913,0.7518796992481203,1.7146270388093308
diabetes,regression,309,10,block,0.3,0.3,0,random,,tabicl_aware,0.3540940284729004,,59.01943078531335,0.43407423451358107,0.7894736842105263,1.7906317387578583
diabetes,regression,309,10,block,0.5,0.5,0,random,,tabicl_aware,0.271343469619751,,65.86591294850597,0.29515947599650216,0.7443609022556391,1.929070364238144
diabetes,regression,309,10,block_shift,0.3,0.3,0,random,,tabicl_aware,0.27066659927368164,,58.84888905240041,0.4373400917663226,0.7669172932330827,1.8263222433705324
diabetes,regression,309,10,block_shift,0.5,0.5,0,random,,tabicl_aware,0.2697906494140625,,65.30013664544337,0.30721637508626054,0.7593984962406015,1.9263941355606127
diabetes,regression,309,10,none,0.0,0.0,1,random,,tabicl_aware,0.3092477321624756,,57.240723283155745,0.4394512259096919,0.7368421052631579,1.7094962131158444
diabetes,regression,309,10,block,0.3,0.266289592760181,1,random,,tabicl_aware,0.2712407112121582,,59.76294845635202,0.3889634164506285,0.7744360902255639,1.8119079926945303
diabetes,regression,309,10,block,0.5,0.40226244343891404,1,random,,tabicl_aware,0.2696375846862793,,61.528939236785746,0.35231768719606826,0.7518796992481203,1.803025989021803
diabetes,regression,309,10,block_shift,0.3,0.26380090497737557,1,random,,tabicl_aware,0.2684779167175293,,58.60836460864824,0.4123450647807919,0.7894736842105263,1.8237815329614313
diabetes,regression,309,10,block_shift,0.5,0.5,1,random,,tabicl_aware,0.27003955841064453,,63.52747740957435,0.309559271054495,0.7819548872180451,1.9547934322242246
diabetes,regression,309,10,none,0.0,0.0,2,random,,tabicl_aware,0.269214391708374,,57.392887659884735,0.45437592477447497,0.7593984962406015,1.765526711311869
diabetes,regression,309,10,block,0.3,0.252262443438914,2,random,,tabicl_aware,0.27152514457702637,,58.84541709789743,0.4264085576969504,0.8195488721804511,1.8497957970506076
diabetes,regression,309,10,block,0.5,0.46289592760181,2,random,,tabicl_aware,0.27355051040649414,,65.86714326598397,0.28135397411245566,0.7593984962406015,1.9941803563852716
diabetes,regression,309,10,block_shift,0.3,0.2,2,random,,tabicl_aware,0.27230191230773926,,58.40039038218058,0.4350514833558222,0.8345864661654135,1.820156164343611
diabetes,regression,309,10,block_shift,0.5,0.43710407239819005,2,random,,tabicl_aware,0.2731931209564209,,63.68507325259804,0.32818038818908246,0.7819548872180451,2.0810650966038513
diabetes,regression,309,10,none,0.0,0.0,3,random,,tabicl_aware,0.2706317901611328,,50.57791186017287,0.5354178094193094,0.8721804511278195,1.9505245180514608
diabetes,regression,309,10,block,0.3,0.3,3,random,,tabicl_aware,0.2711513042449951,,54.84763477536018,0.4536680805988569,0.8421052631578947,2.039262284025012
diabetes,regression,309,10,block,0.5,0.4276018099547511,3,random,,tabicl_aware,0.2723526954650879,,61.372218883770806,0.31595540217297413,0.8421052631578947,2.2936628527842795
diabetes,regression,309,10,block_shift,0.3,0.3,3,random,,tabicl_aware,0.27183103561401367,,59.148803428572904,0.3646212388111205,0.8421052631578947,2.038553470923677
diabetes,regression,309,10,block_shift,0.5,0.4671945701357466,3,random,,tabicl_aware,0.2734413146972656,,61.394316197250745,0.31546272749396687,0.849624060150376,2.3030908689963803
diabetes,regression,309,10,none,0.0,0.0,4,random,,tabicl_aware,0.3063526153564453,,59.32912076857783,0.4604800363282576,0.7518796992481203,1.6782478797611495
diabetes,regression,309,10,block,0.3,0.2660633484162896,4,random,,tabicl_aware,0.27141690254211426,,63.456626532337246,0.38280037188136906,0.7669172932330827,1.8604192996687625
diabetes,regression,309,10,block,0.5,0.4819004524886878,4,random,,tabicl_aware,0.2734982967376709,,70.1788896318828,0.24510824884040283,0.7894736842105263,1.9693350363778608
diabetes,regression,309,10,block_shift,0.3,0.3,4,random,,tabicl_aware,0.27312326431274414,,60.596139567035635,0.43719025434681824,0.7744360902255639,1.8127460546424743
