dataset,task,n_train,n_features,mechanism,rate,actual_rate,seed,split,held_out_source,model,seconds,error,rmse,r2,coverage80,width80
diabetes,regression,309,10,none,0.0,0.0,0,random,,tabicl_aware,1.7334563732147217,,55.935470748666916,0.49167200449547843,0.7669172932330827,1.7011891033596216
diabetes,regression,212,10,block,0.3,0.24796380090497738,0,source,0.0,tabicl_aware,0.3327200412750244,,66.58699195559134,0.3031154090322481,0.6695652173913044,1.823551973626057
diabetes,regression,355,10,block,0.5,0.5,0,source,1.0,tabicl_aware,0.26767563819885254,,62.81670414083065,0.2828688136946619,0.8505747126436781,2.285396359946485
diabetes,regression,212,10,block_shift,0.3,0.24796380090497738,0,source,0.0,tabicl_aware,0.25988268852233887,,83.33046556208602,-0.0914144156820651,0.5,1.319850549069593
diabetes,regression,355,10,block_shift,0.5,0.5,0,source,1.0,tabicl_aware,0.26528334617614746,,61.94366675041607,0.3026639190826971,0.8275862068965517,2.119826081817473
diabetes,regression,309,10,none,0.0,0.0,1,random,,tabicl_aware,0.30344176292419434,,57.11127052335602,0.44198377712253967,0.7368421052631579,1.6945155781996608
diabetes,regression,309,10,block,0.3,0.3,1,source,1.0,tabicl_aware,0.26348018646240234,,59.875449802452515,0.33941475819360123,0.8270676691729323,2.1299878728194424
diabetes,regression,286,10,block,0.5,0.4339366515837104,1,source,0.0,tabicl_aware,0.26221299171447754,,66.30384271002059,0.2356943254997954,0.7948717948717948,2.33736465188712
diabetes,regression,309,10,block_shift,0.3,0.3,1,source,1.0,tabicl_aware,0.2624680995941162,,63.73002683695798,0.2516246201174348,0.7368421052631579,2.050541595332102
diabetes,regression,286,10,block_shift,0.5,0.4669683257918552,1,source,0.0,tabicl_aware,0.2624087333679199,,71.53682889908342,0.11028880509973304,0.7371794871794872,2.169154842339306
diabetes,regression,309,10,none,0.0,0.0,2,random,,tabicl_aware,0.2642090320587158,,57.30949715641324,0.4559603305459975,0.7518796992481203,1.7472165407973816
diabetes,regression,211,10,block,0.3,0.20452488687782805,2,source,0.0,tabicl_aware,0.2614908218383789,,60.18406922002182,0.40176221558887937,0.7445887445887446,1.793515433876807
diabetes,regression,293,10,block,0.5,0.4291855203619909,2,source,0.0,tabicl_aware,0.26293230056762695,,61.50180211335919,0.38981646973710593,0.7785234899328859,1.9079676126888876
diabetes,regression,211,10,block_shift,0.3,0.252262443438914,2,source,0.0,tabicl_aware,0.2612743377685547,,67.33771179231246,0.25109375554437563,0.7489177489177489,2.2210199430255955
diabetes,regression,293,10,block_shift,0.5,0.466289592760181,2,source,0.0,tabicl_aware,0.26257944107055664,,69.33618569272214,0.22445912660251488,0.8053691275167785,2.2588043818826766
diabetes,regression,309,10,none,0.0,0.0,3,random,,tabicl_aware,0.26351070404052734,,50.21877719607917,0.5419920313289904,0.8721804511278195,1.9334975812281803
diabetes,regression,345,10,block,0.3,0.3,3,source,2.0,tabicl_aware,0.2661120891571045,,66.69845825658274,0.33334052858984276,0.711340206185567,1.9706563685042557
diabetes,regression,282,10,block,0.5,0.5,3,source,2.0,tabicl_aware,0.26251792907714844,,61.193595923569276,0.37230598039351825,0.84375,2.200575349630871
diabetes,regression,345,10,block_shift,0.3,0.3,3,source,2.0,tabicl_aware,0.2663538455963135,,62.07316369275334,0.42259541984500293,0.7938144329896907,1.8762241015261094
