dataset,task,mechanism,rate,model,rmse,r2,coverage80,width80,rmse_std,r2_std,coverage80_std,width80_std,n_fits
diabetes,regression,block,0.3,tabicl_aware,63.235898248599234,0.3401566148622024,0.7425123674677097,1.9575784920223995,3.3161170028756883,0.037092889351412146,0.05863599155651737,0.1478640443321486,5
diabetes,regression,block,0.5,tabicl_aware,63.76913956087494,0.293481123779816,0.8149076358533082,2.2449224927441316,2.726614057201559,0.08709724926440578,0.031203776218280115,0.21643968584025827,5
diabetes,regression,block_shift,0.3,tabicl_aware,67.14364042463606,0.24642713322447446,0.7132481907674528,1.9026656938482192,9.510165767128678,0.2051017964140298,0.12163980951423312,0.34786705988974825,5
diabetes,regression,block_shift,0.5,tabicl_aware,66.39048329061094,0.2372069124468327,0.8092542370458362,2.1977429398365773,4.423187327870273,0.08070522999428476,0.046135331993548814,0.06523387433848299,5
diabetes,regression,none,0.0,tabicl_aware,55.974876964167564,0.47852582932570586,0.7774436090225564,1.7452789077188626,3.4372622597999545,0.039848848705641794,0.05411444876826039,0.11071759647899444,5
openml:189,regression,block,0.3,tabicl_aware,0.21391574667803645,0.32578329533026773,0.7322177271623475,1.8405375046336236,0.03299375188122045,0.21798065213542725,0.09764545401652823,0.14243501582288617,5
openml:189,regression,block,0.5,tabicl_aware,0.24881266225938634,0.08382061601569599,0.795195034126323,2.5007723192256655,0.007305577386717403,0.06284261800673854,0.025325125838211365,0.14110497877880515,5
openml:189,regression,block_shift,0.3,tabicl_aware,0.23927228411298965,0.15950276124419677,0.7691934825918942,2.2487133122517973,0.031888543699839615,0.24675177922713945,0.05469171863067369,0.43921048609973673,5
openml:189,regression,block_shift,0.5,tabicl_aware,0.23615502576155029,0.17354662553420136,0.7977844774945856,2.40271941297354,0.016044006823316376,0.10446593985569011,0.058306478882512364,0.3166633201473634,5
openml:189,regression,none,0.0,tabicl_aware,0.07588543829117944,0.9156554312277937,0.8157777777777777,0.738890973766227,0.0022555734898785183,0.0060478580232299385,0.006731169435938216,0.012154603894083477,5
openml:42225,regression,block,0.3,tabicl_aware,2520.2882436171512,0.5441113883504658,0.6402767526421235,0.6251430175119282,1244.4745316430492,0.4279651360737996,0.3283378919959185,0.16772752169176222,5
