dataset,task,n_train,n_features,mechanism,rate,actual_rate,seed,split,held_out_source,model,seconds,error,rmse,r2,coverage80,width80
diabetes,regression,309,10,none,0.0,0.0,0,random,,tabicl_aware,1.6951422691345215,,55.935470748666916,0.49167200449547843,0.7669172932330827,1.7011891033596216
diabetes,regression,309,10,block,0.3,0.3,0,random,,tabicl_aware,0.34488821029663086,,58.66191976299198,0.4409096751118702,0.7894736842105263,1.7747239320889654
diabetes,regression,309,10,block,0.5,0.5,0,random,,tabicl_aware,0.26729822158813477,,65.5779830607856,0.3013083643104354,0.7518796992481203,1.9110608622865908
diabetes,regression,309,10,block_shift,0.3,0.3,0,random,,tabicl_aware,0.26602768898010254,,58.63548593827903,0.4414134283448059,0.7744360902255639,1.8289346782249365
diabetes,regression,309,10,block_shift,0.5,0.5,0,random,,tabicl_aware,0.26523494720458984,,65.03828583064822,0.3127613019673997,0.7669172932330827,1.9088691165767724
diabetes,regression,309,10,none,0.0,0.0,1,random,,tabicl_aware,0.30230283737182617,,57.11127052335602,0.44198377712253967,0.7368421052631579,1.6945155781996608
diabetes,regression,309,10,block,0.3,0.266289592760181,1,random,,tabicl_aware,0.26689839363098145,,59.602656706708395,0.39223677482290054,0.7744360902255639,1.8040622194572522
diabetes,regression,309,10,block,0.5,0.40226244343891404,1,random,,tabicl_aware,0.26498985290527344,,61.24009562002147,0.3583844190192078,0.7593984962406015,1.7913552242022086
diabetes,regression,309,10,block_shift,0.3,0.26380090497737557,1,random,,tabicl_aware,0.263944149017334,,58.666198671126324,0.41118471024106984,0.7969924812030075,1.8052018334376867
diabetes,regression,309,10,block_shift,0.5,0.5,1,random,,tabicl_aware,0.2673351764678955,,63.17913813426905,0.3171102788073479,0.7669172932330827,1.925918288360601
diabetes,regression,309,10,none,0.0,0.0,2,random,,tabicl_aware,0.26470351219177246,,57.30949715641324,0.4559603305459975,0.7518796992481203,1.7472165407973816
diabetes,regression,309,10,block,0.3,0.252262443438914,2,random,,tabicl_aware,0.2682523727416992,,58.76652276241814,0.4279455603174359,0.8195488721804511,1.8340953894599588
diabetes,regression,309,10,block,0.5,0.46289592760181,2,random,,tabicl_aware,0.2664225101470947,,65.83903822237055,0.28196712561158477,0.7593984962406015,1.9656196639675048
diabetes,regression,309,10,block_shift,0.3,0.2,2,random,,tabicl_aware,0.2653636932373047,,58.33299441416237,0.43635466923746047,0.8270676691729323,1.7968974795575543
diabetes,regression,309,10,block_shift,0.5,0.43710407239819005,2,random,,tabicl_aware,0.26775598526000977,,63.624470760028416,0.32945838220971335,0.7744360902255639,2.063468982676848
diabetes,regression,309,10,none,0.0,0.0,3,random,,tabicl_aware,0.26595306396484375,,50.21877719607917,0.5419920313289904,0.8721804511278195,1.9334975812281803
diabetes,regression,309,10,block,0.3,0.3,3,random,,tabicl_aware,0.2667551040649414,,54.85709971123915,0.4534795057302883,0.8421052631578947,2.021861714069986
diabetes,regression,309,10,block,0.5,0.4276018099547511,3,random,,tabicl_aware,0.267561674118042,,61.43180167448491,0.31462655758118374,0.849624060150376,2.3100811192333355
diabetes,regression,309,10,block_shift,0.3,0.3,3,random,,tabicl_aware,0.26767826080322266,,58.80870273019191,0.3719069822321358,0.8345864661654135,2.007662421272368
diabetes,regression,309,10,block_shift,0.5,0.4671945701357466,3,random,,tabicl_aware,0.3045675754547119,,61.79483612203085,0.3065021219499019,0.8571428571428571,2.2846216301444477
diabetes,regression,309,10,none,0.0,0.0,4,random,,tabicl_aware,0.266066312789917,,59.29936919632244,0.4610210031355231,0.7593984962406015,1.6499757350094693
diabetes,regression,309,10,block,0.3,0.2660633484162896,4,random,,tabicl_aware,0.2672412395477295,,63.44155164436017,0.38309358349999467,0.7593984962406015,1.8391277728075137
diabetes,regression,309,10,block,0.5,0.4819004524886878,4,random,,tabicl_aware,0.267287015914917,,70.3337725678235,0.24177252008078154,0.7669172932330827,1.9409707033405523
diabetes,regression,309,10,block_shift,0.3,0.3,4,random,,tabicl_aware,0.2679719924926758,,60.78343157914192,0.43370578579875174,0.7669172932330827,1.8013995280037813
diabetes,regression,309,10,block_shift,0.5,0.5,4,random,,tabicl_aware,0.26888370513916016,,68.79431652343511,0.2746012293632898,0.6992481203007519,1.8071433493655091
openml:531,regression,354,13,none,0.0,0.0,0,random,,tabicl_aware,0.2741267681121826,,3.267991684353766,0.8788936750905397,0.8223684210526315,0.5658750204410101
openml:531,regression,354,13,block,0.3,0.3076923076923077,0,random,,tabicl_aware,0.2749955654144287,,3.906352471624095,0.8269594868838392,0.8092105263157895,0.8501256913567182
openml:531,regression,354,13,block,0.5,0.46153846153846156,0,random,,tabicl_aware,0.2745194435119629,,4.567390624864945,0.7634400324563704,0.8092105263157895,0.9470305120572285
openml:531,regression,354,13,block_shift,0.3,0.23076923076923078,0,random,,tabicl_aware,0.2730376720428467,,4.598034317992123,0.76025511156544,0.8157894736842105,0.9642050351591397
openml:531,regression,354,13,block_shift,0.5,0.46153846153846156,0,random,,tabicl_aware,0.2743697166442871,,3.7237074925591824,0.8427625264940786,0.8026315789473685,1.013509519792905
openml:531,regression,354,13,none,0.0,0.0,1,random,,tabicl_aware,0.2718062400817871,,2.7864300033237983,0.9041945266772304,0.8026315789473685,0.6335322632144018
openml:531,regression,354,13,block,0.3,0.3076923076923077,1,random,,tabicl_aware,0.27323126792907715,,4.083347308597409,0.794256233578372,0.7763157894736842,0.8838263236851834
openml:531,regression,354,13,block,0.5,0.4350866524779568,1,random,,tabicl_aware,0.32053422927856445,,5.840867069061632,0.5790323820761941,0.6907894736842105,0.8605691566100946
openml:531,regression,354,13,block_shift,0.3,0.28412891456369715,1,random,,tabicl_aware,0.28467822074890137,,4.373040103755367,0.7640277326509848,0.7894736842105263,0.9815738965887345
