,method,elo,elo+,elo-,rank,winrate,improvability,improvability+,improvability-,mrr,rank=1_count,rank=2_count,rank=3_count,rank>3_count,time_train_s,time_infer_s,time_train_s_per_1K,time_infer_s_per_1K,normalized-error,normalized-error-task,imputed,median_rank,median_improvability,median_loss_rescaled,median_metric_error,median_time_train_s,median_time_infer_s,median_time_train_s_per_1K,median_time_infer_s_per_1K,median_normalized-error,median_normalized-error-task,median_imputed,method_type,method_subtype,config_type,ta_name,ta_suite
0,TabFM+,1836.8,115.7,111.8,6.745098039215686,0.9316059757236228,0.05164129030586855,0.0369606590474005,0.021963169627657646,0.45712338543136766,13.0,13.0,5.0,20.0,164.31137041952096,147.13470867100884,43.26538287347224,13.619666282992126,0.19591734540966468,0.19591734540966468,0.0,2.0,0.007615558875981088,0.0077085209273869745,0.19299145299145293,95.23527240753174,25.915400743484497,19.965008370162266,7.697430915901501,0.08499457305761987,0.08499457305761987,0.0,baseline,,,TabFM+,tabarena-2026-07-07
1,"AutoGluon 1.6 (noncommercial, 4h)",1830.2,107.9,69.9,6.931372549019608,0.9293884220354809,0.06289239201857103,0.035144969910798615,0.02291897597252885,0.32031785487968734,7.5,5.5,4.0,34.0,160.06974758353888,7.174068436903112,20.074099923973648,1.3628941085706892,0.2521774168674378,0.2521774168674378,0.0,5.5,0.023379470187809392,0.016149975205142674,0.1987760114198903,45.43097519874573,1.9480476379394531,15.642206467388776,0.7395232389421027,0.20114689016320036,0.20114689016320036,0.0,baseline,,,AutoGluon_16_noncommercial,tabarena-2026-08-05
2,TABFM (default),1795.7,124.5,110.9,7.980392156862745,0.9169000933706816,0.055738542217239694,0.034216747323816764,0.022333307906803643,0.3923092430445371,10.0,11.0,3.0,27.0,612.7116171285218,138.3528288859947,50.35760449880157,12.390211441798375,0.2319371200181766,0.2319371200181766,0.0,4.0,0.01350723248856045,0.00982791972643089,0.1973717948717948,146.18406867980957,22.544095039367676,40.79265625990497,6.9905568693959435,0.15050167224080807,0.15050167224080807,0.0,config,default,TABFM,TabFM,tabarena-2026-07-13
3,"AutoGluon 1.6 (extreme, 4h)",1756.9,99.9,65.0,9.313725490196079,0.9010270774976658,0.07111712013889501,0.03531842052612211,0.023611809530542385,0.21694658166178182,3.5,3.5,3.0,41.0,139.3104708849215,6.108352712556427,15.716280207546857,1.2259265414630525,0.30567967156863535,0.30567967156863535,0.0,7.0,0.03206438446494786,0.019015914474379655,0.20161272747085102,37.27479672431946,1.5669355392456055,12.353877782821655,0.6471776204504919,0.29248131109015474,0.29248131109015474,0.0,baseline,,,AutoGluon_16_extreme,tabarena-2026-08-05
4,TA-EXAONE-TABULAR (default),1744.6,94.4,60.5,9.77450980392157,0.8955415499533147,0.07769955575734822,0.04409066337211784,0.025515405598620464,0.24485271430670086,5.0,1.0,8.0,37.0,74.97070063796698,11.027849384382659,9.758216749078304,1.604249014261804,0.2964030327313421,0.2964030327313421,0.0,7.0,0.024681012964647975,0.02401286403430432,0.198931623931624,18.829861164093018,1.517972707748413,6.17219816468856,0.6229814973849696,0.24439664895782504,0.24439664895782504,0.0,config,default,TA-EXAONE-TABULAR,EXAONE-Tabular,tabarena-2026-08-06
5,"AutoGluon 1.5 (extreme, 4h)",1641.8,97.0,78.8,14.372549019607844,0.8408029878618114,0.0838360509362979,0.03691438095730343,0.026740511224718627,0.15412922693226597,2.0,1.0,3.0,45.0,3757.809341313792,27.448745423672246,407.70511586507274,6.065983769697468,0.41956801938963767,0.41956801938963767,0.0,11.0,0.0479899497487436,0.035671140937567486,0.2040318186771275,2405.3948366642,12.49562931060791,293.64903006487026,4.357901796836971,0.37715366435778086,0.37715366435778086,0.0,baseline,,,AutoGluon_v150_eq_4h8c,tabarena-2025-12-18
6,TA-TABPFN-3 (default),1638.2,84.6,58.6,14.558823529411764,0.8385854341736695,0.0956734866405122,0.04894133179620602,0.030265868383902855,0.12468799661594655,0.0,1.0,4.0,46.0,26.429065942764282,2.422183957754397,7.844421994799172,0.45653571100077806,0.43429794619850204,0.43429794619850204,0.0,11.0,0.05252985435217805,0.05340492521337836,0.19955585805915732,17.227367639541626,0.584958553314209,3.587723779678345,0.3949105739593506,0.38895101583492964,0.38895101583492964,0.0,config,default,TA-TABPFN-3,TabPFN-3,tabarena-2026-07-13
7,TABPFN-V2.6 (default),1602.6,77.2,53.5,16.50980392156863,0.815359477124183,0.10971495950990684,0.048642937792872015,0.03374806128225824,0.09267827793896721,0.0,1.0,1.0,49.0,108.05620168237125,9.114482117634193,9.031708365364647,0.941405240483239,0.4810257468640019,0.4810257468640019,0.0,15.0,0.04786348501664839,0.05452923333579345,0.20460934946060805,15.053860425949097,1.0080111026763916,5.7520413761816656,0.6004352740642735,0.46783849497447405,0.46783849497447405,0.0,config,default,TABPFN-V2.6,TabPFN-v2.6,tabarena-2026-03-18
8,REALTABPFN-V2.5 (tuned + ensemble),1594.3,81.5,58.9,16.99019607843137,0.809640522875817,0.09908995867519675,0.04473520429140308,0.036973035228601056,0.11221397801534645,1.0,0.0,0.0,50.0,18809.621657745512,197.2438130799462,2784.3808301143945,23.46753077576068,0.49108280829076023,0.49108280829076023,0.0,15.0,0.052677582774984355,0.04305673764927563,0.20309345139166002,7003.692138433456,18.11799669265747,2059.944379267618,9.78536531329155,0.4731606700864576,0.4731606700864576,0.0,hpo,tuned_ensemble,REALTABPFN-V2.5,RealTabPFN-v2.5,tabarena-2025-11-12
9,TABICLV2 (default),1556.8,75.6,70.7,19.294117647058822,0.7822128851540616,0.11420265421658175,0.05054953176295186,0.033688850738154155,0.09491337758170035,0.0,1.0,1.0,49.0,16.794721318226234,1.663248015385048,3.950924431595039,0.3769233548908771,0.5129019691530694,0.5129019691530694,0.0,13.0,0.06557573415310403,0.05520223700312572,0.2035559817136176,7.507569313049316,0.3558478355407715,1.9632436902389914,0.14638646135052433,0.45513525401364757,0.45513525401364757,0.0,config,default,TABICLV2,TabICLv2,tabarena-2026-07-13
